brazilian_source_track  times_sampled_abroad  times_sampled_total
----------------------------------------------------------------------
Luiz Henrique — Listen to Me (2008) [Brazil]  3  3
Thy Light — No Morrow Shall Dawn (2017) [Brazil]  3  3
DJ Dolores — Oslodum 2004 (2004) [Brazil]  3  3
Eumir Deodato — Skatin' (1980) [Brazil]  2  2
Mental Broadcast — Receiver (2011) [Brazil]  2  2
Arthur Verocai — Seriado (1972) [Brazil]  2  2
Barbatuques — Baianá (2005) [Brazil]  2  2
Luiz Bonfá — Seville (1968) [Brazil]  2  2
Amon Tobin — Nova (1998) [Brazil]  2  2
Airto Moreira — Celebration Suite (1977) [Brazil]  2  2
Otto — Bob (1998) [Brazil]  2  14
Paulinho da Costa — Love Till the End of Time (1979) [Brazil]  2  2
O Mandrake — Aquecimento das danadas (2020) [Brazil]  2  2
Amon Tobin — Kitchen Sink (Boxcutter remix) (2007) [Brazil]  2  2
Cazuza — Ideologia (1988) [Brazil]  2  2
Barão Vermelho — Bete balanço (1984) [Brazil]  2  2
Antonio Pinto — Central do Brasil (1998) [Brazil]  2  2
Cazuza — Exagerado (1985) [Brazil]  2  2
Sérgio Mendes — Samba da Bênção (Samba of the Blessing) (2006) [Brazil]  2  2
Arthur Verocai — Na boca do sol (1972) [Brazil]  2  2
Gilberto Gil — Oslodum (2004) [Brazil]  2  3
Bola Sete — Bettina (1970) [Brazil]  2  2
Antônio Carlos Jobim — Insensatez (How Insensitive) (1963) [Brazil]  1  1
Eumir Deodato — Nights in White Satin (1973) [Brazil]  1  1
Barão Vermelho — Maior abandonado (1984) [Brazil]  1  1
Gutterpink — NoLoveWorld (2021) [Brazil]  1  1
Nana Caymmi — Tens (Calmaria) (1975) [Brazil]  1  1
Moonsailor — Dot's Rebirth (CHIPSTYLE) (2020) [Brazil]  1  1
Moonsailor — Tapyoka Plains (2020) [Brazil]  1  1
Triple Discharge — Mystery (2019) [Brazil]  1  1
Barão Vermelho — Pro dia nascer feliz (1983) [Brazil]  1  1
DJ Marky — LK (radio edit) (2002) [Brazil]  1  1
Flict — Orientation (2013) [Brazil]  1  1
Eumir Deodato — September 13 (1973) [Brazil]  1  1
Clara Nunes — Sabiá (-1) [Brazil]  1  1
Antonio Pinto — Estória da Boca (2002) [Brazil]  1  1
Os Cariocas — Cartão de visitas (1963) [Brazil]  1  1
Zimbo Trio — Barquinho diferente (1964) [Brazil]  1  1
Marcos Valle — Bôdas de sangue (2001) [Brazil]  1  1
Amon Tobin — Foley Room (2007) [Brazil]  1  1
Amon Tobin — Big Furry Head (2007) [Brazil]  1  2
Amon Tobin — Kitchen Sink (2007) [Brazil]  1  3
Felguk — Jack It (2011) [Brazil]  1  1
Felguk — Dead Man Swag (2013) [Brazil]  1  1
Antônio Carlos Jobim — Favela (1989) [Brazil]  1  1
Trotter — Six to Fix (2013) [Brazil]  1  1
Laurindo Almeida — The Lamp Is Low (1969) [Brazil]  1  1
VIRTUAL PLEASURE — ゴールデンナゲット (2022) [Brazil]  1  1
Rauppwar — MAGAZINE (Original Track) (2023) [Brazil]  1  1
Amon Tobin — Verbal (Prefuse 73 Dipped Escalade mix) (2003) [Brazil]  1  1
