brazilian_artist,times_sampled_total,by_brazil,by_foreign
Amon Tobin,44,27,17
Vintage Culture,43,43,0
Bebel Gilberto,30,30,0
Alok,28,22,6
GUSTAVOEGATOTV,27,27,0
Felguk,23,19,4
Cement Tea,20,19,1
Aesthetische,20,20,0
Rouge,17,17,0
Tiago Frúgoli Ensemble,16,16,0
Azymuth,15,14,1
Otto,14,12,2
Darth & Vader,13,13,0
Aghast View,12,12,0
MC Fioti,12,12,0
Jaloo,11,11,0
Flavia Coelho,11,11,0
Öwnboss,11,11,0
Gilberto Gil,10,7,3
Future Frog,10,10,0
Wanessa Camargo,10,10,0
FTampa,10,10,0
Cazuza,9,0,9
Eumir Deodato,9,1,8
Léo Leobons,9,9,0
Digitaria,9,9,0
Alibi,9,9,0
Gusttavo Lima,8,8,0
Zerb,8,8,0
Barbatuques,7,2,5
Sérgio Mendes & Brasil ’66,7,5,2
Racionais MC’s,7,6,1
Burn in Noise,7,6,1
Anitta,7,6,1
HNQO,7,7,0
Tiago Iorc,7,7,0
Giuliano Rodrigues,7,7,0
Sérgio Mendes,6,2,4
Urbandawn,6,5,1
Elowinz,6,6,0
G-Low,6,6,0
Lorena Simpson,6,6,0
Level 2,6,6,0
DJ Chap,6,6,0
Gui Boratto,6,6,0
Barão Vermelho,5,0,5
Moonsailor,5,0,5
Astrud Gilberto,5,1,4
hummingdeath,5,4,1
Chico Science,5,5,0
Ricardo Donoso,5,5,0
Luiz B,5,5,0
Rodrigo Stradiotto,5,5,0
Marcão Baixada,5,5,0
Gabriel Alonso,5,5,0
Luísa Sonza,5,5,0
Nação Zumbi,5,5,0
Arthur Verocai,4,0,4
Luiz Henrique,4,0,4
Antônio Carlos Jobim,4,0,4
Airto Moreira,4,0,4
Sepultura,4,0,4
Jorge Ben Jor,4,2,2
DJ Marky,4,3,1
Trio Ternura,4,3,1
Gabe,4,3,1
Ruback,4,4,0
BaianaSystem,4,4,0
Diogo Strausz,4,4,0
Bungle,4,4,0
Silva,4,4,0
L‐Side,4,4,0
Felicja Blumental,4,4,0
Luiz Bonfá,3,0,3
Paulinho da Costa,3,0,3
Antonio Pinto,3,0,3
Marcos Valle,3,0,3
Thy Light,3,0,3
DJ Dolores,3,0,3
Machina Pensant,3,0,3
Bombo Rosa,3,0,3
Tim Maia,3,1,2
Wrecked Machines,3,1,2
Deize Tigrona,3,2,1
Unreal,3,2,1
CSS,3,2,1
Bonde do Rolê,3,2,1
Michel Teló,3,3,0
Fractal System,3,3,0
Luan Santana,3,3,0
Banda Uó,3,3,0
Renato Cohen,3,3,0
Ruling Toys,3,3,0
LS Jack,3,3,0
Devath,3,3,0
Kaito Aman,3,3,0
Pabllo Vittar,3,3,0
XAKOL,3,3,0
Kurup,3,3,0
Mental Broadcast,2,0,2
O Mandrake,2,0,2
Os Cariocas,2,0,2
Milton Nascimento,2,0,2
Caetano Veloso,2,0,2
Djavan,2,0,2
Bola Sete,2,0,2
Dom La Nena,2,1,1
Earthspace,2,1,1
Gal Costa,2,1,1
Jam Thieves,2,1,1
Psychowave,2,2,0
Bruna Griphao,2,2,0
Edu K,2,2,0
Föxx Salema,2,2,0
Raul Seixas,2,2,0
unknownsignals,2,2,0
Zetta,2,2,0
Bea Duarte,2,2,0
Natur,2,2,0
Pecadores,2,2,0
Dirtyloud,2,2,0
Nicolas Vogler,2,2,0
Vicissu,2,2,0
Funk Buia,2,2,0
Maria Rita,2,2,0
Los Hermanos,2,2,0
Planet Hemp,2,2,0
Critycal Dub,2,2,0
Elekfantz,2,2,0
Kelly Key,2,2,0
O Rappa,2,2,0
Babí,2,2,0
André Sobota,2,2,0
Shapeless,2,2,0
MixHell,2,2,0
Chico Buarque,2,2,0
Lucas Santtana,2,2,0
Léo Santana,2,2,0
Scorsi,2,2,0
暗闇DESTINY,2,2,0
Gutterpink,1,0,1
Nana Caymmi,1,0,1
Triple Discharge,1,0,1
Flict,1,0,1
Clara Nunes,1,0,1
Zimbo Trio,1,0,1
Trotter,1,0,1
Laurindo Almeida,1,0,1
VIRTUAL PLEASURE,1,0,1
Rauppwar,1,0,1
Ana Carolina,1,0,1
Speed Freaks,1,0,1
Elza Soares,1,0,1
Marginal Men,1,0,1
Emílio Santiago,1,0,1
Leila Pinheiro,1,0,1
Tati Quebra Barraco,1,0,1
Fafá de Belém,1,0,1
MC Pogba,1,0,1
Banda Black Rio,1,0,1
Tom Zé,1,0,1
Edu Lobo,1,0,1
Mystifier,1,0,1
Digital Waves,1,0,1
Waldir Calmon,1,0,1
The Magnetic Sounds,1,0,1
MC Binn,1,0,1
Cartola,1,0,1
Mandrake Som,1,0,1
Jorge Antunes,1,0,1
Rodrigo Amarante,1,0,1
Os Mutantes,1,0,1
Cujo,1,0,1
heaven silhouettes,1,0,1
Walter Wanderley,1,0,1
MOSQ,1,1,0
Marilia Gabriela,1,1,0
Bibi Babydoll,1,1,0
Detonautas Roque Clube,1,1,0
Thaíde & DJ Hum,1,1,0
Acuna,1,1,0
Falamansa,1,1,0
Gabi Luthai,1,1,0
Retrigger,1,1,0
Bhaskar,1,1,0
Luka,1,1,0
Lia Clark,1,1,0
Pedra Branca,1,1,0
Marcos & Belutti,1,1,0
KARAN!,1,1,0
JetLag Music,1,1,0
Banda Eva,1,1,0
Metá Metá,1,1,0
Different Stage,1,1,0
Kid Abelha,1,1,0
Alas,1,1,0
Widescream,1,1,0
Eric Farias,1,1,0
Gustavo Rique,1,1,0
