brazilian_source_track,times_sampled_total,by_brazil,by_foreign
Otto — Bob (1998) [Brazil],14,12,2
Bebel Gilberto — Aganjú (2004) [Brazil],10,10,0
Future Frog — Disco Dancer (2011) [Brazil],9,9,0
MC Fioti — Joga o bum bum tam tam (2017) [Brazil],9,9,0
GUSTAVOEGATOTV — Pista (2020) [Brazil],8,8,0
Gusttavo Lima — Balada (Tchê tcherere tchê tchê) (2011) [Brazil],7,7,0
Jaloo — Bai Bai (2014) [Brazil],7,7,0
Aghast View — Pay Off (1997) [Brazil],7,7,0
Öwnboss — RIOT (2023) [Brazil],7,7,0
Zerb — Addicted (2024) [Brazil],7,7,0
Vintage Culture — This Feeling (2022) [Brazil],5,5,0
G-Low — System Protected (2011) [Brazil],5,5,0
Amon Tobin — Surge (2011) [Brazil],5,5,0
FTampa — Till the End of Time (2011) [Brazil],5,5,0
Tiago Iorc — Amei te ver (2015) [Brazil],5,5,0
Rodrigo Stradiotto — Noctilucent (2022) [Brazil],5,5,0
Aesthetische — Tripoli (2012) [Brazil],5,5,0
Alok — To the Moon (2025) [Brazil],5,5,0
Luísa Sonza — Rebolar (2017) [Brazil],5,5,0
Trio Ternura — A gira (1973) [Brazil],4,3,1
Felguk — 2nite (original mix) (2010) [Brazil],4,4,0
Bebel Gilberto — So Nice (Summer Samba) (2000) [Brazil],4,4,0
Felguk — Blow Out (original mix) (2011) [Brazil],4,4,0
Gilberto Gil — Palco (2002) [Brazil],4,4,0
Felguk — The Funky Drama (2009) [Brazil],4,4,0
HNQO — Priority (2024) [Brazil],4,4,0
Vintage Culture — Pour Over (2018) [Brazil],4,4,0
BaianaSystem — Água (2019) [Brazil],4,4,0
Silva — Janeiro (2014) [Brazil],4,4,0
Darth & Vader — Power Trip (extended mix) (2013) [Brazil],4,4,0
Rouge — Beijo molhado (2002) [Brazil],4,4,0
Rouge — Depois que tudo mudou (2002) [Brazil],4,4,0
Rouge — Não dá pra resistir (2002) [Brazil],4,4,0
Marcão Baixada — Bang Bang (2014) [Brazil],4,4,0
Öwnboss — Move Your Body (2021) [Brazil],4,4,0
"Felicja Blumental — Fantasie Polonaise for Piano and Orchestra, op. 19 (1954) [Brazil]",4,4,0
Wanessa Camargo — XOXO (2023) [Brazil],4,4,0
Vintage Culture — I Will Find (2018) [Brazil],4,4,0
Gabriel Alonso — Axom (2017) [Brazil],4,4,0
Giuliano Rodrigues — On a Cloud (2024) [Brazil],4,4,0
Luiz Henrique — Listen to Me (2008) [Brazil],3,0,3
Thy Light — No Morrow Shall Dawn (2017) [Brazil],3,0,3
DJ Dolores — Oslodum 2004 (2004) [Brazil],3,0,3
Gilberto Gil — Oslodum (2004) [Brazil],3,1,2
Amon Tobin — Kitchen Sink (2007) [Brazil],3,2,1
DJ Marky — LK (2004) [Brazil],3,3,0
Vintage Culture — Weak (2024) [Brazil],3,3,0
Tiago Frúgoli Ensemble — Estrada (2019) [Brazil],3,3,0
Tiago Frúgoli Ensemble — Não lugares (2019) [Brazil],3,3,0
Ruback — Human Mind (2014) [Brazil],3,3,0
Luiz B — Song of Life (2009) [Brazil],3,3,0
Bebel Gilberto — August Day Song (2000) [Brazil],3,3,0
Vintage Culture — Promised Land (2024) [Brazil],3,3,0
Giuliano Rodrigues — Without Cloud (2024) [Brazil],3,3,0
Vintage Culture — Chemicals (2024) [Brazil],3,3,0
Aghast View — Truthlike (1997) [Brazil],3,3,0
Vintage Culture — Why Don’t U Love (2017) [Brazil],3,3,0
Tiago Frúgoli Ensemble — Árvore (2019) [Brazil],3,3,0
