brazilian_artist,times_it_samples_others
Alibi,56
Vintage Culture,44
GUSTAVOEGATOTV,33
Bebel Gilberto,30
Amon Tobin,27
Racionais MC’s,26
Alok,23
Darth & Vader,23
Aesthetische,20
Felguk,19
Cement Tea,19
Gabriel o Pensador,17
Rouge,17
Tiago Frúgoli Ensemble,16
Azymuth,14
Pop Up!,14
guilhox,13
Otto,12
Aghast View,12
MC Fioti,12
Jaloo,11
Flavia Coelho,11
Öwnboss,11
Wanessa Camargo,10
FTampa,10
hummingdeath,10
Future Frog,9
Gusttavo Lima,9
Léo Leobons,9
Digitaria,9
Nação Zumbi,8
Sérgio Mendes,8
Zerb,8
miwafoxl,8
LANIc0re,8
HNQO,7
Tiago Iorc,7
Giuliano Rodrigues,7
MixHell,7
Burn in Noise,7
Elowinz,6
Lorena Simpson,6
Xuxa,6
Gui Boratto,6
Anitta,6
Ricardo Donoso,5
Luiz B,5
G-Low,5
Rodrigo Stradiotto,5
Urbandawn,5
Marcão Baixada,5
Gabriel Alonso,5
Luísa Sonza,5
DJ Marky,4
Gilberto Gil,4
Ruback,4
Michel Teló,4
BaianaSystem,4
Diogo Strausz,4
Level 2,4
Bungle,4
Silva,4
Rauppwar,4
Felicja Blumental,4
Pabllo Vittar,4
Fractal System,3
Luan Santana,3
Banda Uó,3
DJ Chap,3
Trio Ternura,3
Renato Cohen,3
Ruling Toys,3
LS Jack,3
Devath,3
Kaito Aman,3
Luccas Neto,3
XAKOL,3
Gabe,3
Kurup,3
Psychowave,2
Bruna Griphao,2
Edu K,2
Föxx Salema,2
Raul Seixas,2
Barbatuques,2
Falamansa,2
Zetta,2
Bea Duarte,2
Natur,2
Pecadores,2
Wesley Safadão,2
Dirtyloud,2
Nicolas Vogler,2
Vicissu,2
Funk Buia,2
Maria Rita,2
Los Hermanos,2
Planet Hemp,2
Deize Tigrona,2
Elekfantz,2
Kelly Key,2
O Rappa,2
Babí,2
André Sobota,2
Shapeless,2
Capital Monkey,2
Bonde do Rolê,2
Chico Science,2
Lucas Santtana,2
Léo Santana,2
Lindsheaven Virtual Plaza,2
Scorsi,2
暗闇DESTINY,2
CSS,2
ElevenWAV,2
Mauricio Cury,2
Corcovado Frequency,2
Black Colibri,2
Paulo Coelho,2
Luiza Possi,1
MOSQ,1
Marilia Gabriela,1
Bibi Babydoll,1
Detonautas Roque Clube,1
Acuna,1
DJ Dolores,1
DJ GBR,1
Gabi Luthai,1
Dom La Nena,1
Retrigger,1
Astrud Gilberto,1
Bhaskar,1
Luka,1
Lia Clark,1
Pedra Branca,1
Moreno + 2,1
KARAN!,1
Player,1
JetLag Music,1
Banda Eva,1
Metá Metá,1
Eumir Deodato,1
The Twelves,1
Different Stage,1
Kid Abelha,1
Alas,1
Widescream,1
Eric Farias,1
Cat Dealers,1
Gustavo Rique,1
DJ MAMAMIA ROLA,1
Tough Art,1
Dream Team do Passinho,1
Angra,1
Edilene Gomes,1
Guilherme & Benuto,1
Unreal,1
Earthspace,1
TonyZ,1
Beme,1
DZP,1
SPECT3R,1
Chipz,1
Reverence,1
Jorge & Mateus,1
Gal Costa,1
Paulinho Moska,1
Fourth World,1
nocapz.,1
Aretuza Lovi,1
caioHMF,1
João Neto & Frederico,1
DENNIS,1
Altruism,1
Necrose,1
KIBI,1
MC Guimê,1
Maneva,1
The Fish House,1
Zezé Di Camargo & Luciano,1
Critycal Dub,1
Lexa,1
Paradizzle,1
Dr. Silvana & Cia,1
Emicida,1
Futurist,1
Wrecked Machines,1
Edson Cordeiro,1
Phillipi & Rodrigo,1
"Francisco, el Hombre",1
Arnaldo & Andressa,1
Zuffo,1
Future Class,1
Cosmonet,1
LUDMILLA,1
Chico Buarque,1
Quarteto em Cy,1
Jam Thieves,1
Zélia Duncan,1
Nitri,1
Diego & Arnaldo,1
DuoScience,1
Violation Drive,1
4i20,1
Matheus Manente,1
Oliver Ferrer,1
