source_track  times_sampled_by_brazil
----------------------------------------------------------------------
Otto — Bob (1998) [Brazil]  12
Bebel Gilberto — Aganjú (2004) [Brazil]  10
Future Frog — Disco Dancer (2011) [Brazil]  9
MC Fioti — Joga o bum bum tam tam (2017) [Brazil]  9
GUSTAVOEGATOTV — Pista (2020) [Brazil]  8
Lyn Collins — Think (About It) (1972) [United States]  8
Gusttavo Lima — Balada (Tchê tcherere tchê tchê) (2011) [Brazil]  7
Jaloo — Bai Bai (2014) [Brazil]  7
Aghast View — Pay Off (1997) [Brazil]  7
Öwnboss — RIOT (2023) [Brazil]  7
Zerb — Addicted (2024) [Brazil]  7
Vintage Culture — This Feeling (2022) [Brazil]  5
G-Low — System Protected (2011) [Brazil]  5
Amon Tobin — Surge (2011) [Brazil]  5
FTampa — Till the End of Time (2011) [Brazil]  5
Tiago Iorc — Amei te ver (2015) [Brazil]  5
Rodrigo Stradiotto — Noctilucent (2022) [Brazil]  5
Aesthetische — Tripoli (2012) [Brazil]  5
Alok — To the Moon (2025) [Brazil]  5
Luísa Sonza — Rebolar (2017) [Brazil]  5
Perfect Cell — Cellbacca (2010) [(unknown)]  5
Felguk — 2nite (original mix) (2010) [Brazil]  4
Bebel Gilberto — So Nice (Summer Samba) (2000) [Brazil]  4
Felguk — Blow Out (original mix) (2011) [Brazil]  4
Gilberto Gil — Palco (2002) [Brazil]  4
Felguk — The Funky Drama (2009) [Brazil]  4
HNQO — Priority (2024) [Brazil]  4
Vintage Culture — Pour Over (2018) [Brazil]  4
BaianaSystem — Água (2019) [Brazil]  4
Silva — Janeiro (2014) [Brazil]  4
Darth & Vader — Power Trip (extended mix) (2013) [Brazil]  4
Rouge — Beijo molhado (2002) [Brazil]  4
Rouge — Depois que tudo mudou (2002) [Brazil]  4
Rouge — Não dá pra resistir (2002) [Brazil]  4
Marcão Baixada — Bang Bang (2014) [Brazil]  4
Öwnboss — Move Your Body (2021) [Brazil]  4
Felicja Blumental — Fantasie Polonaise for Piano and Orchestra, op. 19 (1954) [Brazil]  4
Wanessa Camargo — XOXO (2023) [Brazil]  4
Vintage Culture — I Will Find (2018) [Brazil]  4
Gabriel Alonso — Axom (2017) [Brazil]  4
Giuliano Rodrigues — On a Cloud (2024) [Brazil]  4
DJ Marky — LK (2004) [Brazil]  3
Vintage Culture — Weak (2024) [Brazil]  3
Tiago Frúgoli Ensemble — Estrada (2019) [Brazil]  3
Tiago Frúgoli Ensemble — Não lugares (2019) [Brazil]  3
Ruback — Human Mind (2014) [Brazil]  3
Luiz B — Song of Life (2009) [Brazil]  3
Bebel Gilberto — August Day Song (2000) [Brazil]  3
Vintage Culture — Promised Land (2024) [Brazil]  3
Giuliano Rodrigues — Without Cloud (2024) [Brazil]  3
