artist,community,in_strength
Young Leosia,0,18
Żabson,0,11
Orchestral Manoeuvres in the Dark,0,8
Blue Effect,0,4
OKI,0,3
Quebonafide,0,3
Guzior,0,3
Bedoes,0,2
Taco Hemingway,0,2
Jerry Martin,0,2
Białas,0,2
Alberto,0,2
Belmondawg,0,2
Kizo,0,2
Duke Dumont,0,1
Kalwi & Remi,0,1
Magiera,0,1
Gedz,0,1
One‐T,0,1
Gimpson,0,1
Adam Walaciński,0,1
Komputer,0,1
chillwagon,0,1
Cypis,0,1
sanah,0,1
PurpleHaze,0,1
Abbey Lincoln,0,1
Gruby Mielzky,0,1
Dawid Podsiadło,0,1
White 2115,0,1
Hodak,0,1
Brother + Sister,0,1
Delta V,0,0
DJ Wielki Huj,0,0
northboii,0,0
ceelka,0,0
PSY,1,247
Daniel Ingram,1,129
Gorillaz,1,98
Quad City DJ’s,1,91
Smash Mouth,1,78
澤野弘之,1,65
Rick Astley,1,44
Caramell,1,40
Gotye,1,39
μ's,1,38
Lemon Demon,1,36
床井健一,1,32
千石撫子,1,31
大谷智哉,1,30
桜庭統,1,28
中村正人,1,27
Josh Mancell,1,26
Wiz Khalifa,1,25
ClariS,1,25
SEGA Sound Team,1,24
Talking Heads,1,24
Richard Jacques,1,23
Aperture Science Psychoacoustic Laboratories,1,23
Glaze,1,21
Hunnid-P,1,20
Darude,1,20
Survivor,1,20
Santana,1,20
高橋洋子,1,18
Excision,1,17
瀬上純,1,16
LCD Soundsystem,1,16
Sir Mix‐A‐Lot,1,16
高田雅史,1,15
Claire Littley,1,14
Phoenix,1,14
Marlon Saunders,1,14
LazyTown,1,13
竹内まりや,1,13
TryHardNinja,1,13
放課後ティータイム,1,13
Baauer,1,12
Mori Calliope,1,12
Alanis Morissette,1,12
LiSA,1,12
岡部啓一,1,11
T‐Pain,1,11
TeddyLoid,1,11
Barenaked Ladies,1,11
Girls Dead Monster,1,11
Johnny Gioeli,1,11
田中公平,1,11
Assertive,1,11
Passion Pit,1,10
O‐Zone,1,10
Cascada,1,10
Silva Hound,1,10
Ricky Martin,1,10
Crazy Frog,1,10
Not a Clever Pony,1,10
松浦雅也,1,9
Warren G,1,9
DJ Snake,1,9
久保直人,1,8
Ken Ashcorp,1,8
泉こなた,1,8
北村友香,1,8
MOSAIC.WAV,1,8
Grant Kirkhope,1,8
George Andreas,1,8
Bag Raiders,1,8
National Philharmonic Orchestra,1,8
平野綾,1,8
星井美希,1,8
Jodeci,1,7
Ari Pulkkinen,1,7
Mr. Sauceman,1,7
尾形雅史,1,7
Casey Edwards,1,7
Neil Cicierega,1,7
岩崎琢,1,7
daniwellP,1,7
The Romantics,1,7
Aviators,1,7
Sérgio Mendes & Brasil ’66,1,7
Chingy,1,7
General Mumble,1,7
Perfume,1,7
茶太,1,7
幡谷尚史,1,7
Swagberg,1,6
livetune,1,6
Visage,1,6
Portugal. The Man,1,6
H8_Seed,1,6
廻転楕円体,1,6
Stormwolf,1,6
Jimmy Eat World,1,6
fripSide,1,6
SpongeBob SquarePants,1,6
Spencer Nilsen,1,6
Harry Enfield,1,6
Márcio Stein,1,6
Akira Yamaoka,1,6
Was (Not Was),1,6
Mark Morrison,1,5
Michael Sembello,1,5
Peter Bjorn and John,1,5
The Muppets,1,5
Griffin Village,1,5
熊谷文恵,1,5
Ted Poley,1,5
堀江由衣,1,5
Loituma,1,5
藍井エイル,1,5
PinkiePieSwear,1,5
山根ミチル,1,5
sci,1,5
Toronto,1,5
Big Shaq,1,5
Jamie Christopherson,1,5
Robin Beanland,1,5
Mario 3D World Big Band,1,5
Crush 40,1,5
Makkon,1,5
Steven Universe,1,5
逢坂大河,1,5
光吉猛修,1,5
Alex Burton,1,5
Foozogz,1,5
The Champs,1,5
Dave Matthews Band,1,4
阿良々木月火,1,4
Hampton the Hampster,1,4
Icosahedron,1,4
The Knocks,1,4
All Levels at Once,1,4
Animal Collective,1,4
Jackle App,1,4
いしわたり淳治,1,4
Derek Drymon,1,4
高坂穂乃果,1,4
Sérgio Mendes,1,4
Nuclear Bubble Wrap,1,4
Tee Lopes,1,4
Dennis St. James,1,4
Dion Timmer,1,4
ArtAttack,1,4
James “D Train” Williams,1,4
松任谷由実,1,4
Perturbator,1,4
南波真理子,1,4
Jonathan Wolff,1,4
Tiny Tim,1,4
The Cool Kids,1,4
replacer,1,4
Bubba Sparxxx,1,4
Nettohunden,1,4
影山ヒロノブ,1,4
Apathy,1,4
Coda,1,4
The Rembrandts,1,4
Manuel,1,4
John Cena,1,4
橋本直樹,1,4
Nikki Gregoroff,1,4
Raffi,1,4
Omnipony,1,4
Alex S.,1,4
Interrobang Pie,1,4
New Radicals,1,3
Elspongie,1,3
Echelon,1,3
Tyler Smyth,1,3
STYLE FIVE,1,3
Flight of the Conchords,1,3
Sisqó,1,3
栗林みな実,1,3
ランカ・リー,1,3
Jon Brion,1,3
FLOW,1,3
Javelin,1,3
John Desire,1,3
anosa,1,3
Günther,1,3
ARIANNE,1,3
HOME MADE 家族,1,3
どうぶつビスケッツ,1,3
POLICEMAN,1,3
Michael McDonald,1,3
Al Bowlly,1,3
Mitchie M,1,3
The Marvelettes,1,3
FEX,1,3
倖田來未,1,3
chelmico,1,3
NicolArmarfi,1,3
The Caretaker,1,3
Rina Sawayama,1,3
Tay Zonday,1,3
Hanson,1,3
中川翔子,1,3
aivi & surasshu,1,3
Idina Menzel,1,3
The Blackout Crew,1,3
Karen Brake,1,3
Derpy Hooves,1,3
Keith Power,1,3
Zoe Saldaña,1,3
iroha(sasaki),1,3
Lavender,1,3
Luiz Bonfá,1,3
ACE+,1,3
Meco,1,3
James A. Moorer,1,3
Lit,1,3
The Surfaris,1,3
Addictia,1,3
Six of Lasers,1,3
SawanoHiroyuki[nZk],1,3
愛瀬雅巳,1,3
Kermit the Frog,1,3
Mary O’Hara,1,3
Andrew Gold,1,3
麻枝准,1,3
Ben Prunty,1,2
Shade,1,2
エリオをかまってちゃん,1,2
Gheorghe Zamfir,1,2
STEREO DIVE FOUNDATION,1,2
Jason Paige,1,2
The Toy Dolls,1,2
赤血球 AE3803,1,2
The Decemberists,1,2
Brian David Gilbert,1,2
後ろから這いより隊G,1,2
Ayunda Risu,1,2
SMiLE.dk,1,2
Power Glove,1,2
Joe Esposito,1,2
Liam Lynch,1,2
DJ Jean,1,2
Linked Horizon,1,2
オーイシマサヨシ,1,2
TCY FORCE,1,2
清浦夏実,1,2
Edmundo Ros and His Orchestra,1,2
NICE GIRL プロジェクト!,1,2
上田雅美,1,2
石原慎一,1,2
宇徳敬子,1,2
mgk,1,2
Elizabeth Rose Bloodflame,1,2
Robert Frost,1,2
Doujah Raze,1,2
Tyson Yen,1,2
Spin Doctors,1,2
Pinkie Guy,1,2
Funczion SOUNDS,1,2
戌神ころね,1,2
Bobby Prince,1,2
baq5,1,2
HMage,1,2
Doechii,1,2
Paz Ortega Andrade,1,2
Tony Grayson,1,2
TK,1,2
Chris & Cosey,1,2
Fastway,1,2
Doug Robb,1,2
MAISONdes,1,2
しぐれうい,1,2
Mike Greene,1,2
Atlas,1,2
Regina Belle,1,2
津島善子,1,2
Glenn Jones,1,2
シカ部,1,2
Gawr Gura,1,2
Jesse McCartney,1,2
庄司英徳,1,2
AlunaGeorge,1,2
JAMES & GANG,1,2
Quirby64,1,2
すーぱーそに子,1,2
Chain Algorithm,1,2
種島ぽぷら,1,2
GARNiDELiA,1,2
Everett Bradley,1,2
SAKURA*TRICK,1,2
さくらみこ,1,2
Willie Nelson,1,2
George Harrison,1,2
ALI,1,2
Ashlee Simpson,1,2
わたてん☆5,1,2
徳山秀典,1,2
Capcom Sound Team,1,2
David Cassidy,1,2
JustinRPG,1,2
四条貴音,1,2
Steve Conte,1,2
こみっくがーるず,1,2
Revo,1,2
Cut Copy,1,2
ゆの,1,2
Trinidad James,1,2
JoinedTheHerd,1,2
PrinceWhateverer,1,2
AussieAsher,1,2
Ark,1,2
Loverboy,1,2
Stealers Wheel,1,2
Creepy Nuts,1,2
三宅大輔,1,2
Aimer,1,2
d.notive,1,2
Senntenial,1,2
Dread Fox,1,2
EXILE,1,2
Milli Vanilli,1,2
ሙላቱ አስታጥቄ,1,2
戸部田英樹,1,2
桃井はるこ,1,2
Goodie Mob,1,2
SEGA,1,2
NIRGILIS,1,2
Kent,1,2
Black Coast,1,2
Scott Gairdner,1,2
Les Baxter,1,2
Randy Newman,1,2
iblank2apples,1,2
Tabitha Fair,1,2
Bangs,1,2
Stars in Autumn,1,2
Skylar Spence,1,2
Rockapella,1,2
Bow Wow Wow,1,2
Jean Paul Makhlouf,1,2
Marilyn Monroe,1,2
Lucky Twice,1,2
戦場ヶ原ひたぎ,1,2
AcousticBrony,1,2
loophoof,1,2
Mathematicus,1,2
Damjan Mravunac,1,2
Jeff Williams,1,2
jan Misali,1,2
Countess Coloratura,1,2
LAKE,1,1
戸田信子,1,1
Keala Settle,1,1
The Ocular Invisible,1,1
Rebecca Shoichet,1,1
DJタコワサ将軍,1,1
David Grant,1,1
讃州中学勇者部,1,1
UNDER17,1,1
Tim Toupet,1,1
DJ OKAWARI,1,1
Reps,1,1
岩崎良美,1,1
Poppin'Party,1,1
林原めぐみ,1,1
Nieve,1,1
小林啓樹,1,1
android52,1,1
Mary-Kate & Ashley Olsen,1,1
Maxine Nightingale,1,1
丹下桜,1,1
Hospitality,1,1
Real Estate,1,1
Hilary Summers,1,1
Thomas Jones Chase,1,1
Obrum,1,1
アネモネリア,1,1
Spock,1,1
Leslie Hall,1,1
みっちりねこマーチングバンド,1,1
Symbol,1,1
Soulkast,1,1
石渡太輔,1,1
David Arnold,1,1
山口理恵,1,1
SWAN K,1,1
Diggy‐MO’,1,1
ジェニス・カトレーン,1,1
Snayk,1,1
ALI PROJECT,1,1
SgtScrubnoob,1,1
Awkwafina,1,1
スカート,1,1
Kenny Rogers & The First Edition,1,1
Nona Hendryx,1,1
Paul Shortino,1,1
TCB,1,1
The Nat King Cole Trio,1,1
東山奈央,1,1
Synthis,1,1
The Ruts,1,1
LouisF,1,1
Jeff Beal,1,1
UnderKeel,1,1
小林ゆう,1,1
Dru Hill,1,1
みかくにんぐッ！,1,1
ツインテイルズ,1,1
Shaboozey,1,1
Beautifully Abstract,1,1
Kreühn Pöny,1,1
Area Code 615,1,1
Xerxes,1,1
Mesogears,1,1
Scarlett Peace,1,1
Jorge Rivera-Herrans,1,1
Bartekko,1,1
Captain Ironhelm,1,1
澤田朋伯,1,1
Luis Miguel,1,1
Silver Note,1,1
LT United,1,1
The Tallest Man on Earth,1,1
Yonder Mountain String Band,1,1
江口貴勅,1,1
Aivi Tran,1,1
PFS,1,1
Icky,1,1
Marcos & Belutti,1,1
Ponky,1,1
Architecture in Helsinki,1,1
Leo Addeo and His Orchestra,1,1
Johnny Mandel,1,1
Pastor & Mrs. Jim Colerick,1,1
The Chicks,1,1
葉麗儀,1,1
The Delgados,1,1
FireOfFriendship,1,1
BlueBrony,1,1
Sloppy Jane,1,1
Scattle,1,1
Khruangbin,1,1
Stardrive,1,1
キャロル,1,1
磯江俊道,1,1
PhonyBrony,1,1
