corridor_deriv_draws_from_source,weight
electronic → pop,2316
electronic → hip hop,934
ambient → electronic,868
hip hop → funk,840
dance → electronic,811
drum and bass → electronic,810
electro → electronic,790
hip hop → soul,748
electronic → ambient,707
electronic → eurobeat,706
ebm → electronic,621
electronic → dance,614
eurobeat → electronic,608
hip hop → jazz,584
downtempo → electronic,584
dubstep → electronic,567
electronic → rock,555
dance-pop → pop,542
dance → pop,539
electronic → disco,495
deep house → electronic,494
hip hop → pop,469
electronic → drum and bass,458
electronic → alternative rock,454
breakbeat → electronic,448
electronic → house,444
electronic → downtempo,438
electronic → electro,407
electronic → dance-pop,387
hip hop → disco,372
pop → electronic,354
noisecore → hardcore punk,342
hip hop → electronic,341
pop → rock,337
house → electronic,334
electronic → j-pop,332
alternative rock → rock,330
j-pop → electronic,328
trance → electronic,312
electronic → synth-pop,300
pop → hip hop,298
experimental → electronic,286
dubstep → dance,281
electronic → industrial,280
electronic → ebm,276
hip hop → rock,268
electronic → deep house,258
electronic → new wave,258
breaks → electronic,255
electro house → electronic,252
pop → dance-pop,249
dance-pop → electronic,243
house → pop,226
edm → electronic,222
contemporary r&b → pop,215
electro → pop,210
electronic → dubstep,206
electronic → indie rock,203
ballad → pop,203
ambient → downtempo,201
electronic → trance,198
electronic → jazz,192
hip hop → gangsta rap,190
disco → electronic,187
electronic → techno,186
ebm → industrial,186
classic rock → rock,185
electronic → funk,183
electronic → breakbeat,179
pop rock → pop,179
hip hop → r&b,177
alternative rock → electronic,177
disco → pop,175
experimental → pop,171
psytrance → electronic,170
alternative rock → pop,168
rock → alternative rock,166
downtempo → ambient,161
electronic → soul,158
ebm → electro,152
electronic → psytrance,146
electronic → electropop,145
dance → dubstep,140
techno → electronic,140
deep house → dance,139
dance → house,138
breakcore → electronic,134
hip hop → contemporary r&b,133
hardstyle → electronic,132
comedy → pop,131
rock → pop,130
progressive house → electronic,130
pop → contemporary r&b,129
experimental → hip hop,128
gangsta rap → hip hop,128
indie pop → pop,127
hip hop → alternative rock,125
electronic → electro house,122
dance → dance-pop,121
electronic → chiptune,120
electronic → classical,120
downtempo → pop,120
electronic → experimental,119
dance → deep house,119
edm → dance,119
rock → classic rock,117
pop → alternative rock,116
electropop → electronic,115
dance → hip hop,115
drum and bass → dance,114
progressive trance → electronic,114
boom bap → hip hop,113
electronic → glitch,111
electronic → breaks,110
electronic → contemporary r&b,110
extratone → electronic,108
j-pop → pop,107
country → blues,107
contemporary r&b → r&b,107
contemporary r&b → hip hop,104
europop → pop,104
breakbeat → hip hop,103
glitch → electronic,103
hip hop → blues,102
indie rock → rock,102
electro house → dance,101
synth-pop → electronic,101
alternative rock → indie rock,100
dance-pop → hip hop,99
indie rock → alternative rock,98
hip hop → electro,97
pop rock → rock,97
ebm → aggrotech,97
electronic → big beat,96
rock → hard rock,96
reggaeton → latin,95
dance → electro house,93
electronic → r&b,92
pop → disco,92
house → dance,91
deep house → pop,91
chiptune → k-pop,91
dubstep → drum and bass,89
breaks → breakbeat,88
big beat → electronic,88
breakcore → pop,88
electronic → neue deutsche welle,87
electro → hip hop,87
synth-pop → pop,87
dubstep → brostep,86
electronic → progressive house,85
pop → new wave,85
edm → pop,85
deep house → disco,85
chiptune → electronic,84
electronic → hard rock,83
dub → electronic,83
hard rock → rock,82
rock → progressive rock,81
drum and bass → hip hop,81
dark wave → electronic,81
electronic → ballad,79
electronic → hardstyle,79
blues → rock,79
pop → ballad,78
acid jazz → electronic,77
hip hop → pop rap,76
electro → ebm,76
deep house → house,76
gangsta rap → funk,75
progressive house → electro house,74
acid house → electronic,74
pop rap → hip hop,74
barber beats → electronic,74
house → disco,73
electronica → electronic,73
rock → blues,72
dance → electropop,72
ambient → alternative rock,71
electronic → idm,71
dubstep → electro house,71
electropop → pop,70
electro house → pop,70
electronic → progressive trance,69
hip hop → reggae,69
pop → dance,69
industrial → electronic,69
latin → reggaeton,69
asmr → ambient,69
pop → pop rock,68
edm → dance-pop,68
progressive rock → rock,68
conscious hip hop → hip hop,68
electronic → reggae,67
ballad → j-pop,67
dariacore → pop,66
hip hop → conscious hip hop,65
comedy → electronic,65
electronic → pop rock,64
electronic → indie pop,64
electronic → country,64
alternative rock → industrial,64
new wave → electronic,63
dark ambient → electronic,63
disco → soul,62
comedy → hip hop,62
alternative rock → hip hop,62
electronic → aggrotech,61
electronic → metal,61
electronic → folk,60
dubstep → complextro,60
dance-pop → j-pop,60
rock → electronic,59
ebm → electro-industrial,59
crunk → hip hop,59
electronic → heavy metal,58
electronic → breakcore,58
hip hop → classical,58
electro → ambient,58
idol kayō → pop,58
hip hop → east coast hip hop,57
drum and bass → pop,57
drum and bass → dubstep,57
dance → drum and bass,57
dance → electro,57
dance-pop → dance,57
non-music → audio drama,57
