genre,in_strength_sampled,out_strength_samples,net_influence_in_minus_out
pop,10581,8045,2536
rock,3850,2167,1683
funk,1591,476,1115
soul,1677,655,1022
jazz,2164,1261,903
electronic,13970,13181,789
disco,1058,458,600
industrial,1208,666,542
alternative rock,2765,2354,411
new wave,968,560,408
r&b,898,576,322
blues,449,187,262
heavy metal,566,337,229
classical,1314,1119,195
hard rock,875,696,179
reggae,506,329,177
punk,583,428,155
latin,992,840,152
metal,487,344,143
j-rock,237,117,120
brostep,226,115,111
complextro,620,511,109
ballad,421,315,106
synth-pop,635,531,104
alternative pop,486,389,97
psychedelic rock,237,155,82
ambient,2451,2379,72
folk,503,431,72
melodic dubstep,106,34,72
tech house,336,269,67
new age,145,78,67
art pop,283,218,65
alternative metal,499,435,64
idm,284,221,63
midtempo bass,75,14,61
bubblegum bass,88,27,61
k-pop,618,559,59
progressive electronic,87,28,59
contemporary jazz,112,53,59
jazz-funk,91,36,55
swamp pop,83,29,54
electro house,1089,1036,53
soft rock,85,34,51
dark wave,318,269,49
instrumental,175,127,48
grunge,94,48,46
children's music,60,14,46
progressive rock,852,807,45
neurofunk,117,72,45
contemporary r&b,1182,1143,39
country,550,513,37
classic rock,314,278,36
easy listening,90,54,36
blues rock,170,135,35
2-step,55,21,34
motown,41,7,34
dirty south,76,42,34
downtempo,1123,1090,33
death metal,376,343,33
rock and roll,88,55,33
dance,2340,2308,32
production music,95,63,32
dancefloor drum and bass,72,40,32
darksynth,62,30,32
christmas music,60,28,32
boogie,55,23,32
big band,70,39,31
hard bop,49,21,28
city pop,80,52,28
philly soul,36,11,25
halftime,94,70,24
schlager,143,119,24
musical,64,40,24
garage rock,59,36,23
black metal,209,187,22
gothic,70,48,22
ambient pop,76,55,21
folk rock,310,291,19
country soul,19,0,19
neo soul,119,100,19
folk pop,79,60,19
chicago soul,20,1,19
chillstep,26,7,19
krautrock,58,40,18
britpop,81,63,18
soul jazz,26,8,18
euro-trance,38,20,18
afrobeat,112,94,18
vocal jazz,19,2,17
festival progressive house,92,75,17
electro,975,959,16
filmi,183,167,16
bebop,22,6,16
melodic house,38,22,16
chanson française,141,126,15
cinematic classical,41,26,15
celtic,34,19,15
speedcore,116,101,15
dancehall,307,294,13
aor,84,71,13
mpb,21,8,13
classical crossover,63,51,12
minimal techno,77,65,12
arena rock,33,21,12
doo-wop,26,14,12
lo-fi,40,28,12
hardcore breaks,15,3,12
free jazz,18,6,12
techno,917,906,11
bedroom pop,59,48,11
j-core,98,87,11
briddim,40,29,11
jazz fusion,56,46,10
glitch pop,22,12,10
dub techno,93,83,10
digicore,206,196,10
alternative country,11,1,10
free improvisation,17,7,10
louisiana blues,11,1,10
sophisti-pop,10,0,10
post-rock,184,175,9
bossa nova,73,64,9
post-industrial,32,23,9
ambient house,56,47,9
dance-rock,15,6,9
madchester,11,2,9
bluegrass,88,80,8
hybrid trap,52,44,8
liquid funk,26,18,8
modern classical,91,83,8
pop soul,21,13,8
speed garage,34,26,8
progressive breaks,12,4,8
minimal synth,9,1,8
power pop,12,4,8
ballet,16,8,8
big room trance,22,14,8
afro-cuban jazz,11,3,8
math rock,33,26,7
progressive trance,276,269,7
bitpop,41,34,7
contemporary classical,22,15,7
contemporary country,19,12,7
brazilian bass,7,0,7
glam rock,34,28,6
gospel,48,42,6
chamber pop,23,17,6
organic house,6,0,6
glitch hop edm,10,4,6
contemporary christian,85,79,6
latin jazz,14,8,6
calypso,10,4,6
avant-garde jazz,14,8,6
electro-disco,10,4,6
filk,8,2,6
alternative punk,26,20,6
melodic metalcore,17,11,6
slimepunk,12,6,6
psychedelic soul,7,1,6
baroque pop,26,21,5
orchestral,40,35,5
future rave,13,8,5
lounge,19,14,5
memphis rap,11,6,5
country blues,7,2,5
acoustic rock,70,65,5
no wave,6,1,5
funk metal,25,20,5
symphonic rock,7,2,5
chicago drill,11,6,5
latin ballad,12,7,5
ethereal wave,7,2,5
moogsploitation,5,0,5
witch house,8,3,5
britcore,8,3,5
beat poetry,6,1,5
italo dance,38,34,4
folk metal,27,23,4
ragga,5,1,4
italo-disco,45,41,4
worldbeat,4,0,4
bleep techno,5,1,4
tango,6,2,4
african blues,12,8,4
canción melódica,6,2,4
donk,4,0,4
space rock,13,9,4
ghettotech,6,2,4
northern soul,4,0,4
peak time techno,9,5,4
funk brasileiro,4,0,4
bhajan,18,14,4
berlin school,6,2,4
balearic trance,4,0,4
skullstep,6,2,4
hardgroove techno,15,11,4
standup comedy,4,0,4
latin disco,4,0,4
fm synthesis,4,0,4
idol kayō,333,330,3
emo,109,106,3
bassline,126,123,3
digital fusion,7,4,3
abstract hip hop,38,35,3
cumbia,68,65,3
melodic techno,76,73,3
chillsynth,3,0,3
ghetto house,4,1,3
uk drill,3,0,3
bolero-beat,5,2,3
poetry,3,0,3
electroacoustic,4,1,3
nustyle,3,0,3
electro-funk,9,6,3
smooth soul,4,1,3
honky tonk,3,0,3
nu style gabber,3,0,3
deep soul,3,0,3
splittercore,3,0,3
hindustani classical,5,2,3
ambient noise wall,3,0,3
flashcore,21,19,2
piano rock,16,14,2
experimental electronic,17,15,2
hyphy,6,4,2
deep drum and bass,5,3,2
trap,179,177,2
chicago house,74,72,2
raï,7,5,2
techstep,7,5,2
sludge metal,7,5,2
gothic metal,173,171,2
psychedelic pop,8,6,2
bolero,23,21,2
darkstep,20,18,2
diva house,8,6,2
techno kayō,2,0,2
world fusion,5,3,2
indian classical,6,4,2
japanese classical,7,5,2
neo-psychedelia,13,11,2
post-punk revival,4,2,2
sunshine pop,6,4,2
gnawa,3,1,2
rawstyle,7,5,2
qawwali,15,13,2
nederpop,3,1,2
psychedelic folk,2,0,2
neo-medieval folk,2,0,2
medieval,4,2,2
roots rock,3,1,2
jazz rap,12,10,2
glam,5,3,2
cocktail nation,2,0,2
praise & worship,3,1,2
british folk rock,6,4,2
minimalism,9,7,2
opera,5,3,2
beatboxing,2,0,2
trancestep,2,0,2
jersey club rap,3,1,2
avant-folk,5,3,2
classic jazz,2,0,2
baltimore club,4,2,2
dark plugg,2,0,2
ethio-jazz,2,0,2
traditional pop,5,3,2
ballroom house,5,3,2
trap metal,2,0,2
freestyle,3,1,2
heaven trap,2,0,2
terrorcore,2,0,2
luk thung,2,0,2
brill building,2,0,2
afro trap,2,0,2
psychobilly,2,0,2
rockabilly,334,333,1
schranz,34,33,1
audio drama,1354,1353,1
jazz rock,69,68,1
future riddim,4,3,1
vocal trance,55,54,1
urban cowboy,1,0,1
ambient dub,30,29,1
latin rock,21,20,1
power electronics,3,2,1
tech trance,27,26,1
contemporary folk,88,87,1
exotica,3,2,1
hard trance,34,33,1
new rave,2,1,1
manele,1,0,1
industrial techno,33,32,1
lovers rock,6,5,1
dungeon synth,36,35,1
estrada,14,13,1
electro hop,3,2,1
alternative folk,29,28,1
anatolian rock,4,3,1
celtic rock,3,2,1
freakbeat,1,0,1
jazz poetry,1,0,1
desert rock,2,1,1
afroswing,3,2,1
rap metal,2,1,1
d-beat,10,9,1
phonk,5,4,1
music hall,1,0,1
mallsoft,15,14,1
andean new age,1,0,1
cool jazz,3,2,1
march,2,1,1
desert blues,6,5,1
contemporary gospel,6,5,1
minimal drum and bass,3,2,1
space disco,1,0,1
roots reggae,4,3,1
gregorian chant,1,0,1
heavy psych,6,5,1
zhongguo feng,1,0,1
levenslied,2,1,1
twee pop,1,0,1
beat rock,6,5,1
instrumental rock,4,3,1
american primitive guitar,1,0,1
éntekhno,2,1,1
canterbury scene,2,1,1
tin pan alley,1,0,1
rocksteady,2,1,1
enka,2,1,1
township bubblegum,1,0,1
noisecore,345,344,1
western classical,6,5,1
traditional country,1,0,1
space age pop,1,0,1
coupé-décalé,1,0,1
eletrofunk,1,0,1
jamaican ska,1,0,1
slacker rock,1,0,1
mod,2,1,1
black noise,1,0,1
swamp blues,1,0,1
dubstyle,1,0,1
jazz pop,3,2,1
free folk,2,1,1
classic country,2,1,1
jump blues,1,0,1
technoid,1,0,1
wonky techno,1,0,1
non-music,1,0,1
minneapolis sound,4,3,1
nature sounds,1,0,1
celtic electronica,1,0,1
néo-trad,1,0,1
crossover jazz,1,0,1
chinese classical,1,0,1
joik,1,0,1
sound effects,1,0,1
chamber folk,1,0,1
irish folk,1,0,1
cajun,1,0,1
sasscore,1,0,1
funk ostentação,1,0,1
impressionism,1,0,1
pumpcore,1,0,1
corrido,1,0,1
canzone napoletana,1,0,1
jùjú,1,0,1
kayōkyoku,10,10,0
celtic punk,1,1,0
yakousei,7,7,0
art rock,196,196,0
avant-garde,53,53,0
power metal,153,153,0
dembow,13,13,0
persian pop,8,8,0
rave,15,15,0
progressive metalcore,12,12,0
tribal house,3,3,0
cantopop,168,168,0
nu disco,36,36,0
southern rock,28,28,0
screamo,3,3,0
ragga jungle,2,2,0
southern hip hop,16,16,0
blackgaze,9,9,0
brazilian phonk,14,14,0
makina,2,2,0
freeform hardcore,8,8,0
neoclassical metal,10,10,0
twerk,2,2,0
acoustic blues,9,9,0
novo dub,3,3,0
country pop,20,20,0
miami bass,23,23,0
drumfunk,12,12,0
beat music,7,7,0
turkish classical,13,13,0
forró,1,1,0
avant-prog,4,4,0
sertanejo,1,1,0
trap latino,7,7,0
denpa,21,21,0
drill,18,18,0
bouncy techno,8,8,0
melbourne bounce,5,5,0
yacht rock,1,1,0
gqom,4,4,0
instrumental jazz,1,1,0
progressive,3,3,0
brutal death metal,5,5,0
drill and bass,5,5,0
funeral doom metal,5,5,0
crust punk,2,2,0
ghazal,1,1,0
deathrock,1,1,0
ritual ambient,1,1,0
rara,10,10,0
jazzstep,1,1,0
salsa,9,9,0
christian metal,4,4,0
swancore,4,4,0
vallenato,3,3,0
c86,2,2,0
uk funky,3,3,0
algorave,5,5,0
garage psych,1,1,0
garba,1,1,0
opm,10,10,0
akishibu-kei,1,1,0
slam poetry,1,1,0
samba,3,3,0
slap house,2,2,0
2 tone,1,1,0
folk punk,2,2,0
eccojams,2,2,0
detroit trap,3,3,0
carnatic classical,6,6,0
comfy synth,2,2,0
cabaret,6,6,0
new beat,5,5,0
old-time,1,1,0
deep techno,2,2,0
quiet storm,1,1,0
kwaito,1,1,0
hi-tech full-on,1,1,0
bubbling,1,1,0
zydeco,1,1,0
death-doom metal,1,1,0
korean ballad,1,1,0
bardcore,2,2,0
tread,2,2,0
post-dubstep,2,2,0
bro-country,2,2,0
soukous,1,1,0
rock opera,2,2,0
dub poetry,2,2,0
darkcore edm,3,3,0
harsh noise wall,1,1,0
garage punk,1,1,0
cuddlecore,2,2,0
boogie rock,2,2,0
animal sounds,2,2,0
dansband,3,3,0
dissonant death metal,1,1,0
beatdown hardcore,2,2,0
hip hop soul,2,2,0
technical thrash metal,1,1,0
appalachian folk,1,1,0
afro-funk,1,1,0
shibuya-kei,1,1,0
rapcore,3,3,0
stoner metal,1,1,0
avtorskaya pesnya,4,4,0
melodic hardcore,1,1,0
reggae rock,1,1,0
kizomba,1,1,0
epic doom metal,2,2,0
pluggnb,1,1,0
lowercase,1,1,0
deathchant hardcore,1,1,0
chap hop,1,1,0
junkanoo,1,1,0
nintendocore,2,2,0
asmr,1,1,0
new mexico music,1,1,0
hard drum,1,1,0
buchiage trance,1,1,0
bit music,1,1,0
close harmony,1,1,0
electropunk,22,23,-1
future core,10,11,-1
brass band,7,8,-1
synth funk,3,4,-1
avant-garde metal,10,11,-1
hardcore techno,155,156,-1
dark disco,26,27,-1
dark psytrance,15,16,-1
garage house,39,40,-1
swing,11,12,-1
americana,15,16,-1
neurohop,2,3,-1
microhouse,11,12,-1
deep tech,8,9,-1
chopper,3,4,-1
psychedelic,7,8,-1
hard house,5,6,-1
space ambient,2,3,-1
brit funk,7,8,-1
nerdcore techno,0,1,-1
yé-yé,5,6,-1
powerviolence,0,1,-1
drumless hip hop,0,1,-1
q-pop,5,6,-1
batida,1,2,-1
ragtime,0,1,-1
central asian throat singing,1,2,-1
hard trap,3,4,-1
c-pop,4,5,-1
full-on,5,6,-1
country rap,3,4,-1
dark cabaret,2,3,-1
latin house,1,2,-1
technical death metal,4,5,-1
hill country blues,0,1,-1
flamenco pop,1,2,-1
hardbass,0,1,-1
chalga,3,4,-1
queercore,0,1,-1
speed house,1,2,-1
cyber metal,3,4,-1
riot grrrl,0,1,-1
operatic pop,2,3,-1
funkot,0,1,-1
arrocha,0,1,-1
gypsy jazz,0,1,-1
folkhop,0,1,-1
acousmatic,0,1,-1
neo-grime,0,1,-1
nasheed,0,1,-1
electric blues,0,1,-1
minimal wave,1,2,-1
funk de bh,0,1,-1
pub rock,0,1,-1
crime jazz,0,1,-1
slow waltz,0,1,-1
kawaii metal,0,1,-1
mariachi,0,1,-1
nederbeat,0,1,-1
cumbia argentina,0,1,-1
sea shanty,0,1,-1
grebo,0,1,-1
neoperreo,0,1,-1
v-pop,3,4,-1
underground hip hop,0,1,-1
emocore,0,1,-1
electro latino,1,2,-1
volkstümliche musik,1,2,-1
nashville sound,0,1,-1
psystyle,0,1,-1
horror punk,2,3,-1
powerstomp,0,1,-1
dark folk,0,1,-1
cowpunk,0,1,-1
swamp rock,0,1,-1
tearout brostep,0,1,-1
modern hardtek,0,1,-1
tearout,0,1,-1
broken transmission,0,1,-1
vocal house,19,21,-2
folktronica,76,78,-2
crossover prog,27,29,-2
mangue beat,3,5,-2
afro house,148,150,-2
acid breaks,13,15,-2
future garage,39,41,-2
deathcore,57,59,-2
funk carioca,13,15,-2
euphoric hardstyle,15,17,-2
dream trance,4,6,-2
tribal guarachero,1,3,-2
riddim dubstep,4,6,-2
hi-nrg,18,20,-2
forró universitário,0,2,-2
champeta,11,13,-2
interview,0,2,-2
jangle pop,5,7,-2
drift phonk,6,8,-2
merseybeat,0,2,-2
baroque,11,13,-2
dabke,3,5,-2
noise pop,11,13,-2
amapiano,3,5,-2
illbient,1,3,-2
copla,1,3,-2
p-funk,2,4,-2
classical period,0,2,-2
kleinkunst,4,6,-2
nu skool breaks,1,3,-2
trot,2,4,-2
birmingham sound,2,4,-2
kuduro,1,3,-2
viking metal,1,3,-2
heartland rock,0,2,-2
wonky,1,3,-2
rage,0,2,-2
reggae-pop,0,2,-2
digital cumbia,0,2,-2
lo-fi house,1,3,-2
fidget house,2,4,-2
soft visual,0,2,-2
rawphoric,0,2,-2
juke,0,2,-2
nu jazz,14,17,-3
pop punk,105,108,-3
eai,10,13,-3
footwork jungle,0,3,-3
cybergrind,4,7,-3
future bounce,21,24,-3
freak folk,11,14,-3
emo rap,47,50,-3
slushwave,32,35,-3
comedy rock,38,41,-3
bubblegum dance,18,21,-3
emo pop,2,5,-3
colour bass,23,26,-3
hypnagogic pop,3,6,-3
bubblegum pop,13,16,-3
neo-progressive rock,19,22,-3
raggacore,21,24,-3
field recording,7,10,-3
microfunk,23,26,-3
pagan folk,3,6,-3
chipmunk soul,0,3,-3
harsh noise,0,3,-3
string quartet,1,4,-3
boogaloo,0,3,-3
audio documentary,0,3,-3
hyper techno,2,5,-3
latin pop,79,83,-4
hardcore punk,113,117,-4
deathstep,3,7,-4
artcore,15,19,-4
jam band,33,37,-4
doom metal,136,140,-4
new romantic,15,19,-4
deconstructed club,34,38,-4
merengue,21,25,-4
post-hardcore,108,112,-4
hands up,26,30,-4
avant-garde pop,21,25,-4
soca,8,12,-4
ambient trance,9,13,-4
alpenrock,7,11,-4
flamenco,11,15,-4
vaportrap,5,9,-4
mainstream rock,4,8,-4
blackened death metal,3,7,-4
hardvapour,0,4,-4
dansktop,0,4,-4
jungle terror,0,4,-4
power noise,0,4,-4
stutter house,0,4,-4
singer-songwriter,146,151,-5
laiko,16,21,-5
grindcore,73,78,-5
kabarett,19,24,-5
symphonic black metal,3,8,-5
hard techno,27,32,-5
progressive folk,14,19,-5
goa trance,57,62,-5
drone metal,9,14,-5
cyberpunk,2,7,-5
slowcore,8,13,-5
ytpmv,2,7,-5
crossover thrash,0,6,-6
delta blues,2,8,-6
psybient,6,12,-6
british rhythm & blues,10,16,-6
digital hardcore,25,31,-6
italo house,3,9,-6
jump up,6,12,-6
atmospheric drum and bass,88,95,-7
shoegaze,31,38,-7
hamburger schule,1,8,-7
steampunk,1,8,-7
liedermacher,27,34,-7
extratone,191,198,-7
atmospheric black metal,14,21,-7
ambient techno,140,147,-7
melodic black metal,10,17,-7
old school hip hop,4,11,-7
oi,1,8,-7
euro-disco,9,16,-7
