genre  in_strength_sampled  out_strength_samples  net_influence_in_minus_out
----------------------------------------------------------------------
pop  13271  7915  5356
rock  5055  3001  2054
funk  1936  425  1511
soul  1698  380  1318
jazz  2350  1032  1318
disco  2383  1577  806
new wave  991  365  626
industrial  1176  569  607
alternative rock  3483  2929  554
j-pop  3236  2784  452
r&b  820  416  404
hardcore punk  445  76  369
indie rock  1155  820  335
classical  2036  1711  325
blues  834  557  277
hard rock  1078  833  245
synth-pop  685  442  243
reggae  645  407  238
punk  880  647  233
progressive rock  677  457  220
heavy metal  647  463  184
k-pop  600  419  181
latin  1042  865  177
folk  526  355  171
j-rock  245  82  163
psychedelic rock  266  105  161
electropop  751  608  143
easy listening  198  61  137
metal  480  350  130
aggrotech  264  134  130
alternative pop  524  412  112
contemporary r&b  1262  1156  106
industrial metal  208  102  106
brostep  234  131  103
complextro  537  438  99
dancehall  380  282  98
art pop  230  134  96
techno  937  845  92
musical  156  69  87
post-rock  187  102  85
