corridor_deriv_draws_from_source,weight
United Kingdom → United States,2217
Canada → United States,1298
United States → United Kingdom,1297
France → United States,751
Australia → United States,615
Australia → Japan,395
Netherlands → United States,385
Canada → United Kingdom,316
United States → Canada,284
United States → Japan,269
France → United Kingdom,268
Germany → United States,262
United States → France,234
Japan → United States,226
Greece → United States,176
Netherlands → United Kingdom,148
Australia → United Kingdom,141
Italy → United States,139
United Kingdom → Germany,137
United Kingdom → France,134
United States → Jamaica,132
Germany → United Kingdom,129
United States → Germany,122
Denmark → Italy,107
United Kingdom → Canada,99
United Kingdom → Japan,95
United Kingdom → Italy,92
United States → Australia,83
Spain → United States,81
Sweden → United States,78
Australia → South Korea,77
Ireland → United States,73
United States → Sweden,71
United States → Italy,70
United States → Netherlands,65
Belgium → United States,64
Brazil → United States,61
Czechia → United States,60
United Kingdom → Jamaica,58
Japan → United Kingdom,53
Philippines → United States,53
South Korea → United States,50
France → Germany,46
Netherlands → Germany,46
United Kingdom → Australia,45
United Kingdom → Netherlands,43
United States → Brazil,43
Canada → Japan,43
Poland → United States,43
Russia → United States,42
Canada → France,42
Malta → United Kingdom,42
Canada → Australia,41
United States → South Korea,40
Estonia → United States,40
United Kingdom → Sweden,39
Italy → United Kingdom,38
Sweden → United Kingdom,38
Ireland → United Kingdom,36
Australia → Canada,35
Australia → Germany,35
Canada → Sweden,34
Czechia → United Kingdom,34
France → Japan,33
Jamaica → United States,33
Brazil → United Kingdom,32
Canada → Netherlands,30
Vietnam → Japan,30
France → Belgium,29
United States → Ireland,29
Austria → United States,29
Greece → United Kingdom,29
United Kingdom → Brazil,28
Germany → Austria,28
France → Canada,27
Germany → France,27
Belgium → United Kingdom,27
United Kingdom → Ireland,25
United States → Denmark,25
Netherlands → Romania,25
Spain → United Kingdom,24
Canada → Jamaica,24
New Zealand → United States,24
France → South Korea,23
Germany → Japan,23
Latvia → United States,23
Germany → Italy,22
Germany → Canada,22
Canada → Germany,21
Indonesia → South Korea,21
Nigeria → United States,21
France → Sweden,20
France → Italy,19
France → Australia,19
Australia → Italy,19
Australia → France,19
Netherlands → France,19
Norway → United Kingdom,19
United Kingdom → Argentina,18
United States → Belgium,18
Brazil → Canada,18
Austria → United Kingdom,18
United Kingdom → Finland,17
United States → Finland,17
Finland → United States,17
Norway → United States,17
Malaysia → United States,17
United Kingdom → Belgium,16
United Kingdom → Iceland,16
United Kingdom → Austria,16
Italy → Japan,16
United States → Spain,16
Netherlands → Japan,16
United States → Puerto Rico,15
United States → Russia,15
Netherlands → Belgium,15
Malta → United States,15
Japan → Germany,14
Japan → France,14
Germany → Netherlands,14
Belgium → Netherlands,14
Netherlands → Sweden,14
Mexico → United States,14
United States → India,13
Sweden → France,13
Netherlands → Canada,13
Netherlands → Italy,13
Israel → United States,13
Portugal → United States,13
Indonesia → Japan,13
Italy → South Korea,12
Spain → Belgium,12
Japan → Sweden,12
United States → Mexico,12
United States → Türkiye,12
United States → Argentina,12
United States → Austria,12
United States → Iceland,12
Greece → France,12
United Kingdom → Norway,11
United States → Norway,11
United States → Switzerland,11
Germany → Australia,11
Australia → Sweden,11
Canada → New Zealand,11
Colombia → Puerto Rico,11
Venezuela → United States,11
Ukraine → United States,11
United Kingdom → Switzerland,10
United Kingdom → Hungary,10
United Kingdom → Russia,10
Japan → South Korea,10
United States → Greece,10
Germany → Spain,10
Belgium → Canada,10
South Korea → Japan,10
Netherlands → Australia,10
Netherlands → Jamaica,10
Denmark → United States,10
Russia → Italy,10
Canada → Colombia,10
Czechia → Japan,10
Norway → Germany,10
