artist,betweenness
Beyoncé,0.00570852
The Weeknd,0.00570221
近藤浩治,0.00531264
Psynwav,0.00529571
JAY‐Z,0.00523078
Fatboy Slim,0.00512805
2Pac,0.00495199
DJ Shadow,0.00489371
Beastie Boys,0.00465812
Eminem,0.00442722
"Earth, Wind & Fire",0.00431358
Ye,0.00425342
DRAM,0.00411543
James Brown,0.00402334
De La Soul,0.00299605
J. Cole,0.00262502
Eric B. & Rakim,0.00258167
Britney Spears,0.00242604
Mariah Carey,0.00235596
Porter Robinson,0.00230103
Playboi Carti,0.00224036
The Notorious B.I.G.,0.00221864
Björk,0.00206831
Gil Scott‐Heron,0.0020667
Sasha,0.00199176
A Tribe Called Quest,0.00196847
Daft Punk,0.00191016
Madeon,0.0018527
Madonna,0.00172906
Armin van Buuren,0.00159656
Run‐D.M.C.,0.00158449
Ghostface Killah,0.00149413
50 Cent,0.00149062
Rose Royce,0.00133486
Drake,0.00117966
Prince,0.00113988
Dr. Dre,0.00110333
N.W.A,0.00107954
Charli xcx,0.00104053
Suzanne Vega,0.00100806
LL Cool J,0.00100127
Busta Rhymes,0.000966586
Clipse,0.000932734
M|A|R|R|S,0.000918346
Justice,0.000903879
Blue Sky Black Death,0.000879847
Kendrick Lamar,0.000876764
Major Lazer,0.000874228
Snoop Dogg,0.000858809
Nas,0.000856336
M.I.A.,0.000846074
Lady Gaga,0.000838609
Public Enemy,0.000837268
Depeche Mode,0.000812401
Michael Jackson,0.000809485
T.I.,0.00079166
The Prodigy,0.000782726
XXXTENTACION,0.000766405
Mic Geronimo,0.000674422
長沼英樹,0.000613974
Queen,0.000613885
Nine Inch Nails,0.00060701
Amerigo Gazaway,0.000583552
Trackademicks,0.000582531
Fedde Le Grand,0.000573169
Jokers of the Scene,0.000572138
Moby,0.000570165
Mobb Deep,0.000565137
Wu‐Tang Clan,0.000552441
G Jones,0.000551069
Skrillex,0.000548711
Janet Jackson,0.000532953
Common,0.000532533
21 Savage,0.000524865
Death Grips,0.000523182
UNKLE,0.000495817
Sex Pistols,0.000487956
Zedd,0.000485558
Calvin Harris,0.000482585
Kylie Minogue,0.000471393
Congorock,0.000465621
100 gecs,0.000464947
Pusha T,0.000464811
Katy Perry,0.000464357
Aesop Rock,0.000462617
C418,0.000461488
Jungle Brothers,0.000460397
Benny Benassi,0.000460396
"Tyler, The Creator",0.000447439
Yasiin Bey,0.000446817
Kid Cudi,0.000438626
The KLF,0.000437877
The Chemical Brothers,0.000425838
Method Man,0.000423721
AC Slater,0.00042036
EPMD,0.000406553
t.A.T.u.,0.000366384
Fabolous,0.000363243
Cam’ron,0.000359612
The Avalanches,0.000347393
Knife Party,0.000346995
Kero Kero Bonito,0.000345907
Massive Attack,0.000345243
Aretha Franklin,0.000344242
Paul van Dyk,0.000338262
Fred again..,0.000336768
Virtual Self,0.000334422
Aphex Twin,0.000333756
deadmau5,0.000331415
Armand van Helden,0.00032848
Public Image Ltd,0.00032067
Justin Bieber,0.000319971
Beck,0.000318428
Rihanna,0.000314424
J Dilla,0.000311561
Big Kap,0.0003096
Cardi B,0.000306295
Gang Starr,0.000304595
Kate Bush,0.000303805
Lupe Fiasco,0.000302273
Circuitfry,0.000299162
dvsn,0.000294581
Negativland,0.000294499
Mark Ronson,0.000293927
Sia,0.000290742
Baby Keem,0.000267585
Shoebill,0.000265613
Limp Bizkit,0.000261598
Boogie Down Productions,0.000259194
Orkidea,0.000258769
Bone Thugs‐n‐Harmony,0.00025448
Sade,0.000253687
Juicy J,0.000252098
Alicia Keys,0.000251353
MGMT,0.000249158
Krewella,0.000248348
Styles P,0.000246404
PinkPantheress,0.000245224
m‐flo,0.000239702
目黒将司,0.000239552
Pete Rock,0.000238947
Toby Fox,0.000236943
かめりあ,0.000235235
Neil Cicierega,0.000234671
702,0.000233481
House of Pain,0.000233305
Noisia,0.000232979
Lecrae,0.000232031
Example,0.000231974
Pretty Lights,0.000231286
Yaggfu Front,0.000231218
Kabuki,0.00023115
Coil,0.000231083
Chance the Rapper,0.000231021
Vylet Pony,0.000231015
Intense,0.000230947
Zomby,0.000230947
Diplo,0.000230947
Shut Up and Dance,0.000230812
Caribou,0.000230812
Necro,0.000230744
Slum Village,0.000230677
KA$TRO,0.000230677
Mack 10,0.000230564
Modjo,0.000230507
Jay Green’s stuff,0.000228385
Akon,0.000224674
Wiz Khalifa,0.000222178
Future,0.000217338
Missy Elliott,0.000209795
Paul Oakenfold,0.000207318
Digitalism,0.000201458
Boys Noize,0.000197594
Carlos Bess,0.000195927
Danny L Harle,0.000195098
Metal Fingers,0.000193354
Cypress Hill,0.000189206
Gareth Emery,0.000188935
Fugees,0.000187888
Ice‐T,0.000180772
A$AP Rocky,0.000180132
Excision,0.000179126
Will Smith,0.00017789
Solarstone,0.000174886
Aaliyah,0.000171598
The Beatnuts,0.000164605
Vanilla Ice,0.000160925
KRS‐One,0.000159064
Hi‐Tek,0.000154082
Way Out West,0.000153281
Black Eyed Peas,0.000152912
Miles Davis,0.000150747
Makaveli,0.00014881
Cut Chemist,0.000146574
SWV,0.000146489
Ice Cube,0.000144925
Bloodhound Gang,0.000143506
Redman,0.000141517
4hero,0.000138562
Ninjasonik,0.000138036
Ashanti,0.000137249
Mase,0.000136858
OutKast,0.000135137
The Roots,0.000133808
Pete Rock & C.L. Smooth,0.000131963
Dog Blood,0.00012924
Jurassic 5,0.000125814
Elvis Presley,0.000125363
Swedish House Mafia,0.000123594
The Pharcyde,0.000122999
Madvillain,0.000121942
The Living Tombstone,0.000121189
Lil Jon & The East Side Boyz,0.000118766
Ticklish,0.000117968
Basement Jaxx,0.000116473
Mac Miller,0.000112803
TLC,0.000112326
Knxwledge,0.000111759
Squarepusher,0.000108702
Method Man & Redman,0.000107302
Altern 8,0.000103431
Nicki Minaj,0.000102373
S3RL,0.000102242
Timbaland,0.000100941
DMX,9.58454e-05
Placebo,9.38286e-05
Delerium,9.16861e-05
goreshit,9.13271e-05
Left at London,9.12742e-05
The Orb,9.09894e-05
Derek Minor,8.82993e-05
Fat Joe,8.7849e-05
Talib Kweli,8.60571e-05
Camp Lo,8.50505e-05
Falco,8.45656e-05
Brandy,8.38493e-05
3rd Bass,8.35069e-05
Groove Armada,8.29234e-05
UGK,8.28218e-05
Willie Hutch,8.19459e-05
Aceyalone,7.98886e-05
Joey Valence & Brae,7.98526e-05
B.o.B,7.96303e-05
P.O.S,7.95308e-05
Joey Bada$$,7.90944e-05
Big Pun,7.81842e-05
Gucci Mane,7.80441e-05
Blondie,7.74916e-05
Saint Etienne,7.64295e-05
Ludacris,7.55577e-05
Lizzo,7.34398e-05
Nosferatu,7.32582e-05
Jennifer Lopez,7.32158e-05
Kelis,7.1245e-05
Meat Beat Manifesto,7.10211e-05
Estelle,7.05329e-05
CJ Bolland,6.96428e-05
Stacy Lattisaw,6.92931e-05
Arca,6.72253e-05
SpaceGhostPurrp,6.64903e-05
Zeds Dead,6.56119e-05
Metro Boomin,6.40736e-05
The xx,6.37794e-05
Eagles,6.36256e-05
Kreayshawn,6.33877e-05
2 Chainz,6.30552e-05
Le Knight Club,6.30535e-05
Koreless,6.25564e-05
Whodini,6.23448e-05
Puff Daddy & the Family,6.22223e-05
Chumbawamba,6.16356e-05
Digable Planets,6.13309e-05
070 Shake,6.13309e-05
Utah Saints,6.11795e-05
George Michael,6.10851e-05
SL2,6.09732e-05
Gotye,6.00107e-05
Manfred Mann’s Earth Band,5.98131e-05
PEEKABOO,5.9731e-05
Coldplay,5.97274e-05
A. G. Cook,5.94092e-05
CYNE,5.90825e-05
odaxelagnia,5.85678e-05
David Guetta,5.84814e-05
Megan Thee Stallion,5.76273e-05
Laura Les,5.73532e-05
Xzibit,5.66188e-05
DJ Jazzy Jeff & the Fresh Prince,5.60157e-05
Frank Ocean,5.53042e-05
RL Grime,5.51471e-05
REZZ,5.5128e-05
Aviators,5.49439e-05
Bon Iver,5.48762e-05
Portishead,5.46793e-05
Lil Wayne,5.44479e-05
FKA twigs,5.40931e-05
Lana Del Rey,5.38828e-05
Philip Glass,5.38505e-05
Big Daddy Kane,5.3779e-05
D’Angelo,5.35127e-05
Afrojack,5.34258e-05
Pink Floyd,5.26652e-05
Lil Peep,5.24707e-05
The Beatles,5.12539e-05
Gorillaz,5.11975e-05
Icona Pop,5.09459e-05
Peter Schilling,5.078e-05
Linkin Park,4.98471e-05
U2,4.96619e-05
Cassius,4.85769e-05
Naughty by Nature,4.84174e-05
Nelly Furtado,4.83956e-05
MF DOOM,4.74081e-05
Bastille,4.73988e-05
Aleister X,4.6699e-05
will.i.am,4.54774e-05
Daniel Ingram,4.54447e-05
Scissor Sisters,4.42771e-05
oneboredjeu,4.42094e-05
G‐Unit,4.40277e-05
Tiësto,4.40079e-05
Enigma,4.33379e-05
Salt‐N‐Pepa,4.31913e-05
Richard M. Sherman,4.24295e-05
Gravediggaz,4.23493e-05
Barry De Vorzon,4.23167e-05
Empire of the Sun,4.21812e-05
ATOLS,4.19781e-05
Stereo MC’s,4.15008e-05
Raekwon,4.12464e-05
4lung,4.11085e-05
