entity,pagerank_rev,out_strength
Triple‐Q,0.00645811,1078
DJ Schmolli,0.00505068,1315
鈴木雅之,0.00306274,1
goreshit,0.00279372,247
1086 Productions,0.00256823,18
duuzu,0.00253376,228
Phil RetroSpector,0.00240157,186
Beats Atlas,0.00223724,182
Chris Morris,0.00210963,318
SmadaLeinad,0.00203565,1319
dARKVICe,0.00181981,33
G3RSt,0.00175518,367
Girl Talk,0.00174867,455
The Sheep Queen Experiment,0.00168447,402
DJ Shadow,0.00167247,203
nakinyko,0.00159804,358
DJ UMB,0.00156548,16
Professional Hairdresser,0.00153566,203
Flemming Dalum,0.00153258,178
Armin van Buuren,0.00150106,93
Psynwav,0.00144927,462
leroy,0.00144443,352
inafade,0.00139648,230
近藤浩治,0.0012931,2
E-603,0.00127298,325
Talk Hard Productions,0.0012146,449
Hahnstudios,0.0011903,270
deadmau5,0.00119015,306
Monstercat,0.00108684,135
King Cannibal,0.000993461,208
Himeko Katagiri,0.000986212,18
J. Cole,0.000975101,159
DJ Earworm,0.000964866,304
DJ Cable,0.000949972,101
DJ Nerd42,0.000927357,327
RaidAr,0.000906348,108
Car Sofa,0.000904986,141
larsht_,0.000843841,118
Karina Longworth,0.000834795,245
I am Jemboy,0.000818768,197
let's be real,0.00081043,8
Blankie-,0.000810271,159
Bomb the Music Industry!,0.000786148,1
tfwamirite,0.000766108,10
JV5,0.000765342,173
De La Soul,0.000739102,220
Stanton Warriors,0.00072603,25
The Third Vagina,0.00070429,107
YITT,0.000703033,201
V‐FUN,0.00067729,240
The Cut Up Boys,0.000676823,69
shota,0.000675178,7
Party Ben,0.000661033,91
Ye,0.000658177,124
Krewella,0.000658107,64
webyte,0.000642115,1
Fritz von Runte,0.00064136,212
BRONSON,0.000634457,37
Cheryl Stelli,0.0006257,119
Sasha,0.000625209,22
Tape Girl,0.000625151,5
The Gates of Sleep,0.000624042,163
DJ Sabrina the Teenage DJ,0.000620042,86
Uebok,0.00061983,25
Riley Reinhold,0.000612416,47
JAY‐Z,0.000610709,196
Go Home Productions,0.000606762,239
DJ IKU,0.000604332,44
Adam WarRock,0.000572815,54
Beastie Boys,0.000570383,166
gniRob,0.000553646,161
J. Bloom,0.000545955,53
TCLB,0.000539789,6
Eminem,0.00053831,120
A Tribe Called Quest,0.000534964,160
Robin Skouteris,0.000533035,258
Super Mash Bros.,0.000532883,195
Mafia Kiss,0.000532236,20
Team Teamwork,0.000519121,83
Shoebill,0.000507441,39
Dj Alyaz,0.000495721,43
Dave Pearce,0.000492959,26
Max Tannone,0.000488234,59
KMD,0.000487525,117
Scabloopy Floop,0.000484351,114
Hardwell,0.000468162,6
The Prodigy,0.000468039,93
Beyoncé,0.000466108,129
Alibi,0.000463253,47
Neil Cicierega,0.000461058,230
Ryan Hemsworth,0.000457688,44
Paul van Dyk,0.000447367,40
Kendrick Lamar,0.000443921,73
DJ Nonstick Cookware,0.000436739,48
Left/Right,0.000435631,31
Fatboy Slim,0.000427093,50
DJ Safe,0.00042145,31
glance,0.000419204,27
Expensive Dispenser,0.000414586,148
Anna Morgan,0.000401333,35
Little People,0.000400394,29
Mighty Mike,0.000399473,149
12th Planet,0.000396109,35
The Avalanches,0.000395041,57
Lacheque,0.000394756,68
Death Cab for Yeezy,0.000393614,291
Common,0.000385103,90
Gemitaiz,0.000382811,50
ToToM,0.00038189,221
northboii,0.000381488,87
Gareth Emery,0.000369745,23
James Holden,0.000368159,22
Nas,0.00036363,97
Vorso,0.000363455,19
The Notorious B.I.G.,0.000361388,99
Eluvium,0.000357386,44
The Hood Internet,0.000356027,66
Braiden,0.000349919,24
The Chemical Brothers,0.000347878,50
Mahiane,0.000347718,32
Geeneus,0.0003459,25
Drake,0.000345565,65
Pantsmode,0.000341401,52
Throttle,0.000340433,42
Fever Ray,0.000334574,29
ZONΞ ΞATΞR,0.000326269,25
2Pac,0.000324952,140
1tbsp,0.000320507,24
ah!,0.000320446,103
UNKLE,0.000320038,79
Darlyn Vlys,0.000313581,11
TheGuy,0.000312566,8
Moe Shop,0.000312218,24
Busta Rhymes,0.000309768,68
FreeStyleGames,0.000309677,60
Contopp nd #Sloppit#,0.000309077,78
Gorge,0.000308749,27
Metal Fingers,0.000308152,158
CosmicMashups,0.00030705,47
MixHell,0.000306836,5
Filip Čihák,0.00030627,129
Slax,0.00030595,34
SakiZ,0.000304032,37
DRA’man,0.000302247,38
Dj Bamberino,0.000297015,26
White Panda,0.00029544,41
Unfit for Purpose,0.000292155,79
4EverfreeBrony,0.000289675,11
TAKU INOUE,0.000288406,37
Twerknation28,0.000285347,26
Jessy Lanza,0.000283722,22
Paul Oakenfold,0.000282733,32
Ian White,0.000281535,78
CatboyNiko,0.000279422,100
Light New Fires,0.000277465,65
Ramiro Lopez,0.000272369,16
Mendo,0.000272087,21
Truongasm,0.000272072,70
Congorock,0.000271087,23
The Legion of Doom,0.000271031,28
Rav,0.000270757,12
patten,0.000270536,31
Hybrid Minds,0.00026992,15
