entity,pagerank,in_strength
Daniel Ingram,0.00112798,129
Daft Punk,0.000801964,359
James Brown,0.000661462,197
Lyn Collins,0.000654672,142
Kraftwerk,0.000624805,56
Toby Fox,0.000559204,134
Britney Spears,0.000542702,161
James Brown & The Famous Flames,0.000539236,9
ASAGEN,0.000531296,41
Porter Robinson,0.000520818,90
Isaac Hayes,0.000511329,100
Michael Jackson,0.000504971,206
電音部,0.000497617,51
C418,0.000495375,80
The Honey Drippers,0.000492607,61
PSY,0.000477862,247
Freezer,0.000470125,11
anubasu-anubasu,0.000469419,20
Nine Inch Nails,0.00044188,180
The Winstons,0.000433623,54
Kool & the Gang,0.000408639,87
近藤浩治,0.000395488,126
Eminem,0.000384909,148
Prince,0.000383126,48
Ye,0.000379827,179
Barry Manilow,0.000379542,36
Justice,0.000366551,140
Run‐D.M.C.,0.000366118,85
JAY‐Z,0.00036392,255
The Prodigy,0.000363905,85
開発室Pixel,0.000363649,80
The Jacksons,0.000345532,75
Mel Tormé,0.000344039,1
Queen,0.000340557,135
IOSYS,0.000332174,30
Aphex Twin,0.000326369,100
The Beatles,0.00032534,283
Beastie Boys,0.000321659,203
Katy Perry,0.000320746,167
2Pac,0.000310261,52
椎名もた,0.000310127,16
Jim Jones,0.000309496,36
Mariah Carey,0.000303404,43
Eric B. & Rakim,0.000301157,65
宇多田ヒカル,0.000298332,34
外神田文芸高校,0.00029605,5
Honey Cone,0.000295201,5
Depeche Mode,0.000291889,67
Loleatta Holloway,0.000289654,31
Funkadelic,0.00028929,39
SHIKI,0.000286693,23
Public Enemy,0.000286606,105
Charli xcx,0.000285504,46
Metallica,0.000284733,82
Madonna,0.000283584,161
Chic,0.000282815,50
Fatboy Slim,0.000278916,40
Beside,0.000278669,13
Nina Simone,0.000277135,33
Dr. Dre,0.000271363,87
ピノキオピー,0.000271076,12
Pink Floyd,0.000269298,66
Marvin Gaye,0.000266041,83
Curtis Mayfield,0.000260011,51
Linkin Park,0.00025782,225
Gotye,0.000257426,39
"Earth, Wind & Fire",0.000256194,74
wotaku,0.00025601,17
supercell,0.000253573,22
KISS,0.000251036,34
d.notive,0.000250263,2
Bob James,0.000249473,44
m‐flo,0.000246691,12
Caramell,0.000245883,40
Linda Clifford,0.000241207,3
The Flight,0.000240484,17
The Notorious B.I.G.,0.000232761,96
Bette Midler,0.000232167,25
Skrillex,0.000230342,124
Stormwolf,0.000229367,6
Incredible Bongo Band,0.000229271,26
Parliament,0.000228919,48
DJ TECHNORCH,0.000227168,19
澤野弘之,0.00022267,65
Falco,0.000220603,35
George Buzinkai,0.000218919,13
yUuZa1,0.000218087,14
Led Zeppelin,0.000214818,69
The Wailers,0.00021283,20
100 gecs,0.000211335,47
Lil Wayne,0.000210772,48
Carly Rae Jepsen,0.000210741,83
Bill Withers,0.000209871,31
Rockabye Baby!,0.000209599,2
50 Cent,0.000207646,66
下村陽子,0.000207167,59
Nirvana,0.000205518,77
Snail’s House,0.000204466,20
Glaze,0.000203114,21
Lady Gaga,0.000203036,225
KIZAN518,0.000202381,9
$WAGGOT,0.00020165,82
Drake,0.000200666,93
Wu‐Tang Clan,0.000199727,47
The Queenstons,0.000198766,18
SawanoHiroyuki[nZk],0.000198193,3
23,0.000198188,6
Lena Raine,0.000198106,22
The Isley Brothers,0.000197333,51
Bob Marley & The Wailers,0.000197168,59
GIRakaCHEEZER,0.000197052,1
ueotan,0.000195834,1
Louis Armstrong,0.000195111,10
The Doors,0.000195032,44
CYBERTHING!,0.00019466,13
Jack Finlay,0.000192994,24
Psynwav,0.00019151,1
Friendship,0.00019151,1
Dionne Warwick,0.000190823,20
t.A.T.u.,0.000189461,30
The Weeknd,0.000189107,55
The Chemical Brothers,0.000188556,58
Donna Summer,0.000188506,50
System of a Down,0.000186736,27
Madeon,0.000186645,39
Wretch 32,0.000186114,2
Gorillaz,0.000185431,98
Janet Jackson,0.000185373,38
PinkiePieSwear,0.000182834,5
Иван Купала,0.000179751,12
Radiohead,0.000178822,78
New Order,0.00017788,30
目黒将司,0.000177245,32
Herbie Hancock,0.0001769,40
Beck,0.000176758,114
Serge Gainsbourg,0.000176413,42
戸越まごめ,0.00017577,4
Aaliyah,0.000174703,33
John Lennon,0.000173842,19
Eurythmics,0.000173625,30
Alstroemeria Records,0.000173226,22
折戸伸治,0.000173006,6
Blue Sky Black Death,0.00017193,35
War,0.000171699,24
Petit Rabbit's with beans,0.000170905,10
Ed Sheeran,0.000169962,38
Danny Baranowsky,0.000169593,76
Stevie Wonder,0.000168742,52
Slayer,0.00016848,28
RinneRadio,0.000167771,12
Childish Gambino,0.000167704,46
Chaka Khan,0.000166998,11
Masayoshi Minoshima,0.000166849,20
Coil,0.000165187,34
Change,0.000165093,14
Bohemian Rhapsody,0.000164655,1
JoinedTheHerd,0.000164192,2
Ohio Players,0.000164121,58
N.W.A,0.00016197,49
L.E.D.LIGHT,0.000161055,4
The Meters,0.000160704,28
MC Hammer,0.000160486,9
The Mothers of Invention,0.00016001,14
Art of Noise,0.000159474,30
Not a Clever Pony,0.000158391,10
Sting,0.000157931,16
The Supremes,0.000157693,20
TRF,0.000157109,9
Yoko Ono,0.000156806,3
Tony Sheridan,0.000156186,6
PinkPantheress,0.000156163,9
Three 6 Mafia,0.000156136,28
Claire Littley,0.00015612,14
Barry White,0.000155811,34
Extreme,0.000155462,3
Eddie Lang,0.000155402,1
Coming Soon,0.000155124,2
