entity  hub  out_strength
----------------------------------------------------------------------
jan Misali — ryuuseigun mashup  0.00587066  37
Robin Skouteris — PopLove 1 (Mashup of 2012)  0.00505171  31
jan Misali — overture  0.00500799  24
Psynwav — We Don’t Make Meme Mashups (Encanto vs. Quad City DJ’s vs. PSY vs. Santana feat. Rob Thomas vs. Cardi B feat. Megan Thee Stallion vs. Rick Astley vs. Imagine Dragons vs. LazyTown vs. Smash Mouth vs. Bag Raiders vs. Soulja Boy vs. Leviathan vs. Misha vs. Weezer vs. The Legend of Zelda: Wand of Gamelon vs. Reese’s Puffs vs. Among Us vs. Barenaked Ladies)  0.0048782  15
Triple‐Q — Mashups Like This  0.00483881  28
Hahnstudios — InTheMixRadio Mix  0.00480687  32
Isosine — Nonstop Pop 2012  0.00465452  17
Triple‐Q — #SELFIE is a new and original song which doesn’t plagiarize at all  0.00457532  14
Triple‐Q — Infinite Mashups  0.00451747  8
nakinyko — To the Sound (The Coolest Kids!)  0.00448024  17
Truongasm — Koi wa Chaos no Shimobe Medley  0.00446777  16
reach — Helltaker with the Science Team  0.00441962  16
beat_shobon — The Ripping Paradise  0.00440865  8
PhucY∞u — Through the Tables and Memes  0.00437187  12
megamanlego — Gentlementlemen High Quality Remake  0.0043492  5
CactusTeam — Mash This  0.00432393  13
RosalinaSama — Corycore Collection Ⅰ  0.00431202  9
Truongasm — YOU SAVE STYLE  0.00425562  4
RosalinaSama — Crazy Psy  0.00423747  3
Pupscud — opnan gnanam sytle  0.00423643  3
L3dgy — Psyrony: My Little Gangnam Can’t Be This Stylish  0.00422124  3
144p — my name is Chloé Lemaire, nice to meet you  0.00420462  10
Peggy‐P — This Is The Sound Of Hell  0.00420072  9
Chongo — Chaotic Constellation  0.00419804  8
RosalinaSama — Cure for the Gentleman  0.00419784  3
응과사전, Shittypedia - Free Shit Encyclopedia — Your voice op...  0.00419784  3
L3dgy — Supermassive Op Hole  0.00419758  3
FutanariVorestep.exe — 0 to GANGNAM: The Gentle Up  0.00419749  3
L3dgy — Psyturbator: Psyalizer  0.00419749  3
L3dgy — Psyturbator: Psyami Disco  0.00419749  3
Triple‐Q — ONE MORE GANGNAM: PSY NEEDS YOU (2014 mashup medley)  0.00418808  14
RosalinaSama — The Big Psyghts  0.00417865  2
TCMusic! — Self Destruct (Nicki Minaj vs. Ke$ha vs. LMFAO vs. PSY vs. Lady Gaga)  0.00416736  5
hujiba — Brightstyle  0.00415956  6
DJ Vee — You Know, Daytona?  0.00415406  4
DJ Schmolli — Gangnam Starships Died In Zedd’s Domino Arms (Cutting Crew vs. Jessie J vs. PSY vs. Heavy D. & The Boyz vs. Zedd vs. Nicki Minaj)  0.00414799  6
L3dgy — Subutan Style  0.00413427  3
RosalinaSama — Crash Mash  0.00411186  7
SmadaLeinad — Moves Like Gangnam Starships  0.00408793  3
LibraH — Don’t Style  0.00408186  5
FutanariVorestep.exe — Gangnam Your Co-Souljas  0.00404604  3
Coconut Hemluck — Hemluck Style (official Nightcore edit) (Britney Spears vs. PSY vs. Avicii vs. Sean Paul)  0.00404455  5
RosalinaSama — Straight Outta the Recycle Bin  0.0040355  4
Triple‐Q — Viva Bodies  0.00402782  3
Coconut Hemluck — Hemluck Style (Britney Spears vs. PSY vs. Avicii vs. Sean Paul)  0.0040264  4
Bendromeda — Dengnam Style (Mudvayne vs. PSY vs. The Buckwheat Boyz vs. Ying Yang Twins vs. Doja Cat and Nicki Minaj)  0.00400934  5
Triple‐Q — LET THE GANGNAM HIT THE FLOOR  0.00400891  2
FutanariVorestep.exe — Stylestorm  0.00399809  2
Hahnstudios — No Boots! (Avicii vs. Alice Merton vs. Psy)  0.00399706  3
Triple‐Q — Style Haleyyytion (PSY vs. Love Live!)  0.0039947  3
