artist,core,in_strength,community,scene_anchor
Daft Punk,14,360,22,Daft Punk
The Beatles,14,284,5,The Beatles
JAY‐Z,14,255,7,JAY‐Z
PSY,14,247,1,PSY
Lady Gaga,14,226,20,Lady Gaga
Linkin Park,14,225,6,?
Michael Jackson,14,208,5,The Beatles
Beastie Boys,14,203,5,The Beatles
James Brown,14,198,2,James Brown
Nine Inch Nails,14,180,37,Nine Inch Nails
Ye,14,179,7,JAY‐Z
Katy Perry,14,169,20,Lady Gaga
Madonna,14,163,20,Lady Gaga
Britney Spears,14,161,20,Lady Gaga
Eminem,14,150,6,?
Taylor Swift,14,146,20,Lady Gaga
Rihanna,14,143,20,Lady Gaga
Justice,14,141,22,Daft Punk
Queen,14,138,7,JAY‐Z
Kesha,14,137,20,Lady Gaga
Coldplay,14,112,20,Lady Gaga
Public Enemy,14,105,2,James Brown
Gorillaz,14,100,1,PSY
The Notorious B.I.G.,14,96,2,James Brown
Drake,14,94,7,JAY‐Z
Kool & the Gang,14,89,2,James Brown
LMFAO,14,88,20,Lady Gaga
Dr. Dre,14,87,2,James Brown
Run‐D.M.C.,14,86,2,James Brown
Marvin Gaye,14,85,7,JAY‐Z
Carly Rae Jepsen,14,83,20,Lady Gaga
Beyoncé,14,83,7,JAY‐Z
Weezer,14,83,7,JAY‐Z
Ariana Grande,14,78,20,Lady Gaga
Bruno Mars,14,78,20,Lady Gaga
Smash Mouth,14,78,1,PSY
Nirvana,14,77,5,The Beatles
Maroon 5,14,77,20,Lady Gaga
OutKast,14,76,7,JAY‐Z
The Jacksons,14,76,5,The Beatles
Green Day,14,75,20,Lady Gaga
David Guetta,14,71,20,Lady Gaga
Missy Elliott,14,71,7,JAY‐Z
Depeche Mode,14,70,37,Nine Inch Nails
Led Zeppelin,14,69,5,The Beatles
Kendrick Lamar,14,68,7,JAY‐Z
Black Eyed Peas,14,68,20,Lady Gaga
50 Cent,14,67,7,JAY‐Z
Red Hot Chili Peppers,14,62,7,JAY‐Z
Muse,14,61,20,Lady Gaga
Avril Lavigne,14,61,20,Lady Gaga
Adele,14,60,20,Lady Gaga
Owl City,14,60,20,Lady Gaga
Miley Cyrus,14,59,20,Lady Gaga
Ludacris,14,59,7,JAY‐Z
The Chemical Brothers,14,58,17,?
Usher,14,58,20,Lady Gaga
The Weeknd,14,58,20,Lady Gaga
Calvin Harris,14,57,20,Lady Gaga
Justin Timberlake,14,56,20,Lady Gaga
Nicki Minaj,14,56,20,Lady Gaga
Snoop Dogg,14,55,2,James Brown
Pitbull,14,54,20,Lady Gaga
Stevie Wonder,14,53,2,James Brown
Nas,14,53,2,James Brown
2Pac,14,52,2,James Brown
Oasis,14,52,5,The Beatles
Flo Rida,14,51,20,Lady Gaga
Busta Rhymes,14,50,2,James Brown
N.W.A,14,49,2,James Brown
Lil Wayne,14,48,7,JAY‐Z
Rick Astley,14,44,1,PSY
The Police,14,43,5,The Beatles
Gwen Stefani,14,41,20,Lady Gaga
The Killers,14,41,20,Lady Gaga
Fall Out Boy,14,41,7,JAY‐Z
Lil Nas X,14,40,20,Lady Gaga
Billie Eilish,14,39,20,Lady Gaga
Ed Sheeran,14,38,20,Lady Gaga
Tears for Fears,14,38,7,JAY‐Z
Aaliyah,14,33,2,James Brown
Disturbed,14,33,6,?
Korn,14,31,20,Lady Gaga
Phil Collins,14,29,37,Nine Inch Nails
Will Smith,14,28,22,Daft Punk
Mark Ronson,14,26,24,Barry Manilow
TLC,14,25,19,?
De La Soul,14,21,2,James Brown
J. Cole,14,13,7,JAY‐Z
Phil RetroSpector,14,9,5,The Beatles
Neil Cicierega,14,7,1,PSY
gniRob,14,7,22,Daft Punk
Go Home Productions,14,5,5,The Beatles
leroy,14,2,14,100 gecs
Girl Talk,14,2,7,JAY‐Z
V‐FUN,14,2,22,Daft Punk
Expensive Dispenser,14,2,20,Lady Gaga
Triple‐Q,14,1,1,PSY
G3RSt,14,1,5,The Beatles
Psynwav,14,1,1,PSY
ToToM,14,1,37,Nine Inch Nails
James Gameboy,14,1,20,Lady Gaga
S!RENE,14,1,2,James Brown
SmadaLeinad,14,0,20,Lady Gaga
Fritz von Runte,14,0,5,The Beatles
ah!,14,0,20,Lady Gaga
Beefjerky007,14,0,20,Lady Gaga
DJ Schmolli,14,0,5,The Beatles
I am Jemboy,14,0,9,Toby Fox
LibraH,14,0,20,Lady Gaga
DJ Nerd42,14,0,6,?
Mighty Mike,14,0,37,Nine Inch Nails
Filip Čihák,14,0,20,Lady Gaga
The Sheep Queen Experiment,14,0,37,Nine Inch Nails
Titus Jones,14,0,20,Lady Gaga
CatboyNiko,14,0,22,Daft Punk
Peggy‐P,14,0,5,The Beatles
JV5,14,0,6,?
nakinyko,14,0,1,PSY
Cheryl Stelli,14,0,22,Daft Punk
Party Ben,14,0,5,The Beatles
E-603,14,0,7,JAY‐Z
duuzu,14,0,22,Daft Punk
Cryptidd Mashups,14,0,20,Lady Gaga
TCMusic!,14,0,20,Lady Gaga
YITT,14,0,20,Lady Gaga
Super Mash Bros.,14,0,7,JAY‐Z
Robin Skouteris,14,0,20,Lady Gaga
DJ Earworm,14,0,20,Lady Gaga
PopChop,14,0,2,James Brown
Danny Greyiers,14,0,20,Lady Gaga
Talk Hard Productions,14,0,20,Lady Gaga
Isosine,14,0,20,Lady Gaga
Hahnstudios,14,0,5,The Beatles
Ultimazone,14,0,20,Lady Gaga
David0Mario,14,0,1,PSY
