recording_id,genre
17227286,electropop
15885644,pop
25562993,j-pop
20821605,j-pop
6980886,eurobeat
42286886,eurobeat
9752709,pop
27036463,hip hop
26481981,hip hop
34716305,acid house
34716306,acid house
35295256,classical
8083637,classical
3702343,hip hop
3702328,hip hop
26649996,black metal
2184312,black metal
27156084,disco
27156092,dance
26132090,soul
13003695,pop
22137088,drum and bass
17992720,drum and bass
21057306,folk rock
26391433,rockabilly
26334319,hip hop
28352282,j-pop
25571169,j-pop
11846607,drum and bass
10046675,drum and bass
27908611,progressive house
26204162,progressive house
37501137,ballad
10535574,ballad
37501163,ballad
9231763,ballad
13353406,drum and bass
19675148,pop
12778893,soul
29022294,electropunk
29022047,electropunk
20212483,hip hop
20796420,hip hop
26307889,drum and bass
26307881,drum and bass
4273743,latin pop
380185,disco
37292109,hip hop
37283499,hip hop
6528333,pop
4609557,breakbeat
13932818,hip hop
12107847,indie rock
23727255,pop rap
1576551,hip hop
32082965,atmospheric drum and bass
29054753,atmospheric drum and bass
24564508,drum and bass
23157719,drum and bass
30865675,comedy
30865612,comedy
27085402,soul
595159,r&b
30911240,anarcho-punk
673195,anarcho-punk
30911270,anarcho-punk
22325625,heavy metal
375551,hard rock
32526101,2-step
23682848,alternative r&b
31155866,big room house
31620085,big room house
32535815,techno
32535812,techno
1050061,soul
176468,downtempo
8143928,hip house
555180,house
31525293,drum and bass
27804817,drum and bass
29923047,edm
24899989,edm
33749512,flashcore
33749482,flashcore
27415957,alternative dance
154649,pop
34006641,post-punk
20855796,post-punk
37631021,house
23839889,house
34892545,bluegrass
5967562,bluegrass
19102168,hard rock
695247,hard rock
34498840,neue deutsche welle
307498,new wave
36435220,g-house
33356589,tech house
36445134,pop
877103,pop
7259225,pop
41548434,deep house
38012777,pop
37373576,pop
36567373,electronic
36567371,electronic
38056952,hip hop
38056950,hip hop
21638154,house
36714512,house
36715793,nu metal
1940024,alternative metal
10240822,electronic
9148659,dance
38585760,j-pop
9664391,j-pop
22163292,hybrid trap
21039886,electropop
14830710,pop
14830699,pop
32597366,r&b
28997631,r&b
33615986,house
33293818,house
40417179,downtempo
32145374,downtempo
32932838,pop
17237858,rock
3495338,classic rock
41789224,europop
25989518,electronic
45296190,drum and bass
10784331,drum and bass
27431206,synth-pop
43173392,electropop
25148420,electropop
220162,breaks
43181268,electronic
28460638,electronic
44185579,deep house
44185489,deep house
43029654,electronic
3405450,electronic
43368103,edm
43368032,edm
27090855,dance-pop
7456787,pop
43464854,pop
34911532,progressive house
14638659,nu jazz
44372554,edm
23380358,electro
45475893,electronic
40067517,electronic
44461469,pop
536827,r&b
39950459,country
6954426,death metal
7111671,black metal
45415546,pop
