source  in_strength  direct_in_degree  transitive_footprint
----------------------------------------------------------------------
PSY — Gangnam Style (강남스타일)  217  217  219
:wumpscut: — Wreath of Barbs (album mix)  131  131  131
Lyn Collins — Think (About It)  132  91  118
The Honey Drippers — Impeach the President  58  58  116
Arca — Riquiquí  100  100  100
Quad City DJ’s — Space Jam  86  86  86
The Winstons — Amen, Brother  53  53  84
Public Enemy — Bring the Noise  51  51  83
Smash Mouth — All Star  70  68  75
galen tipton — tadpoles lullaby  69  69  69
Queen — We Will Rock You  41  41  65
Mike Oldfield — Amarok  56  56  56
Grandmaster Flash & The Furious Five — The Message  53  53  56
Daft Punk — Harder, Better, Faster, Stronger  47  47  53
Carly Rae Jepsen — Call Me Maybe  50  50  51
Linkin Park — Numb  48  48  51
WDR Sinfonieorchester Köln — Gruppen  48  48  48
Celldweller — Switchback  46  46  46
Stone Giants — Metropole  45  45  45
Celldweller — Frozen  44  44  45
Niko — Night of Fire  42  42  45
:wumpscut: — Du hast kein Herz  44  44  44
Mark Wright — Masters of Earth  43  43  43
Rick Astley — Never Gonna Give You Up  40  40  42
Stephen Cole — Masquerade  41  41  41
